Timing is on.
 brand_id |                       brand                        | i_manufact_id |                     i_manufact                     | ext_price 
  5004001 | edu packscholar #1                                 |           121 | oughtableought                                     |  29569.91
  1002001 | importoamalg #1                                    |           186 | callyeingought                                     |  29470.52
  9011008 | amalgunivamalg #8                                  |           451 | oughtantiese                                       |  29437.31
  3004002 | edu packexporti #2                                 |           958 | eingantin st                                       |  29420.38
 10012006 | importoamalgamalg #6                               |           723 | priableation                                       |  29369.89
  8014010 | edu packmaxi #10                                   |            74 | eseation                                           |  29204.42
  1003001 | exportiamalg #1                                    |            88 | eingeing                                           |  28626.81
 10004002 | edu packunivamalg #2                               |           305 | antibarpri                                         |  28574.40
  1001002 | amalgamalg #2                                      |           122 | ableableought                                      |  28541.49
  1004001 | edu packamalg #1                                   |            23 | priable                                            |  28536.05
  4004001 | edu packedu pack #1                                |           322 | ableablepri                                        |  28210.74
  9006005 | corpmaxi #5                                        |           138 | eingpriought                                       |  28034.22
  6009006 | maxicorp #6                                        |           393 | prin stpri                                         |  27958.26
  8012009 | importomaxi #9                                     |           226 | callyableable                                      |  27898.41
  9002002 | importomaxi #2                                     |            65 | antically                                          |  27795.73
 10012013 | importoamalgamalg #13                              |            70 | baration                                           |  27748.05
  7002007 | importobrand #7                                    |            20 | barable                                            |  27730.55
  8008005 | namelessnameless #5                                |            65 | antically                                          |  27643.87
  7011003 | amalgnameless #3                                   |           161 | oughtcallyought                                    |  27599.96
  1003002 | exportiamalg #2                                    |            21 | oughtable                                          |  27556.59
  4004001 | edu packedu pack #1                                |           764 | esecallyation                                      |  27416.05
  3002002 | importoexporti #2                                  |            34 | esepri                                             |  27090.18
  9011005 | amalgunivamalg #5                                  |            87 | ationeing                                          |  27036.61
  3002001 | importoexporti #1                                  |           237 | ationpriable                                       |  26737.78
 10001014 | amalgunivamalg #14                                 |            97 | ationn st                                          |  26474.51
  3001002 | amalgexporti #2                                    |           837 | ationprieing                                       |  26436.71
  5004001 | edu packscholar #1                                 |           223 | priableable                                        |  26376.42
  5004002 | edu packscholar #2                                 |           521 | oughtableanti                                      |  26363.21
  3001002 | amalgexporti #2                                    |           780 | bareingation                                       |  26355.21
  1004001 | edu packamalg #1                                   |           750 | barantiation                                       |  26313.19
  2002001 | importoimporto #1                                  |           224 | eseableable                                        |  25932.42
  1001001 | amalgamalg #1                                      |           165 | anticallyought                                     |  25826.66
  7005004 | scholarbrand #4                                    |           152 | ableantiought                                      |  25599.27
  8008004 | namelessnameless #4                                |           208 | eingbarable                                        |  25531.85
  5003001 | exportischolar #1                                  |           559 | n stantianti                                       |  25334.84
  3004001 | edu packexporti #1                                 |           863 | pricallyeing                                       |  25293.49
  4004002 | edu packedu pack #2                                |           149 | n steseought                                       |  25272.30
  6007001 | brandcorp #1                                       |           232 | ablepriable                                        |  25075.94
(100 rows)

Time: 1307,718 ms (00:01,308)
