Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |   sumsales   | rk  
 Books                                              | self-help                                          | exportiunivamalg #8                                |                |        |       |       |            |   1504241.43 |  81
 Books                                              | self-help                                          | exportiunivamalg #9                                |                |        |       |       |            |   1966970.55 |  60
 Books                                              | self-help                                          |                                                    |                |        |       |       |            |  13079663.64 |   7
 Books                                              | sports                                             | edu packunivamalg #12                              |                |        |       |       |            |   1663727.32 |  77
 Books                                              | sports                                             | edu packunivamalg #6                               |                |        |       |       |            |   2516546.67 |  33
 Books                                              | sports                                             | edu packunivamalg #8                               |                |        |       |       |            |   2305313.97 |  42
 Books                                              | sports                                             |                                                    |                |        |       |       |            |  10741577.84 |  16
 Books                                              | travel                                             | univunivamalg #12                                  |                |        |       |       |            |   1893776.74 |  62
 Books                                              | travel                                             | univunivamalg #2                                   |                |        |       |       |            |   2333141.10 |  41
 Books                                              | travel                                             | univunivamalg #6                                   |                |        |       |       |            |   1889811.18 |  63
 Books                                              | travel                                             | univunivamalg #8                                   |                |        |       |       |            |   2213255.77 |  45
 Books                                              | travel                                             | univunivamalg #9                                   |                |        |       |       |            |   1265299.91 |  99
 Books                                              | travel                                             |                                                    |                |        |       |       |            |  11873569.05 |  12
 Books                                              |                                                    |                                                    |                |        |       |       |            | 202106550.90 |   1
(100 rows)

Time: 23138,978 ms (00:23,139)
