Timing is on.
                                                                                              i_item_desc                                                                                               |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
 Able courses stretch only just substantial areas. New supplies can come larg                                                                                                                           | Doors canno          |       5348 |        0 |     1 |         1
 Able, early arms return estimates; already common animals can go also british victorian meals. Old offices may not go just main, early procedures. Foreign, useless attitudes organize most. Respon    | Important issues liv |       5347 |        0 |     1 |         1
 Able friends shall not question major, monthly things; new shots woul                                                                                                                                  | Bad cards must make. |       5353 |        0 |     1 |         1
 Able, full elections see then for instance real categories. Constitutional trades would go around merchants. Once appointed individuals shall take                                                     | Doors canno          |       5353 |        0 |     1 |         1
 Able funds must not investigate distinct, short-term foundations. Sad, soft examples beli                                                                                                              | Conventional childr  |       5357 |        0 |     1 |         1
 Able funds must not investigate distinct, short-term foundations. Sad, soft examples beli                                                                                                              | Doors canno          |       5357 |        0 |     1 |         1
 Able funds must not investigate distinct, short-term foundations. Sad, soft examples beli                                                                                                              | Doors canno          |       5370 |        0 |     1 |         1
 Able, good places used to see very by an homes. Shows trouble very details. Principal papers secure only able, difficult choices. Here american feet achieve ever from a camps.                        | Conventional childr  |       5341 |        0 |     1 |         1
 Able moments must not believe. Eyes should proceed worldwide with the police. As national members may draw with a men. Nevertheless social compet                                                      | Bad cards must make. |       5350 |        0 |     1 |         1
 Able, previous boys tell much to a lessons. Financial women would write generally days. Lives aim by a obligations; fair, independent homes would try days. National times take either as a business   |                      |       5346 |        0 |     1 |         1
 Able, private products buy merely external females. Women                                                                                                                                              |                      |       5357 |        0 |     1 |         1
 Able quarters open. Poor arms could eat for a potatoes. Quietly litt                                                                                                                                   | Conventional childr  |       5355 |        0 |     1 |         1
 Able, strong pictures understand especially. Similar years feed sometimes close, bri                                                                                                                   |                      |       5364 |        0 |     1 |         1
 Able, useless players worry colleagues. Growing, patient sales would review on a minutes. Quickly new seasons might adjust. Windows                                                                    | Doors canno          |       5373 |        0 |     1 |         1
 About dangerous women used to                                                                                                                                                                          |                      |       5359 |        0 |     1 |         1
 About large glasses find                                                                                                                                                                               |                      |       5328 |        0 |     1 |         1
 About musical years survive sort of; often consid                                                                                                                                                      | Conventional childr  |       5323 |        0 |     1 |         1
 About musical years survive sort of; often consid                                                                                                                                                      | Doors canno          |       5323 |        0 |     1 |         1
 About musical years survive sort of; often consid                                                                                                                                                      |                      |       5323 |        0 |     1 |         1
 About remarkable f                                                                                                                                                                                     |                      |       5371 |        0 |     1 |         1
 About traditi                                                                                                                                                                                          | Important issues liv |       5345 |        0 |     1 |         1
 About traditi                                                                                                                                                                                          | Important issues liv |       5354 |        0 |     1 |         1
 About wonderful risks decline fresh devices. Here christian men must see now politically desirable provisions. More scientific parents ought to sell ago ol                                            | Bad cards must make. |       5362 |        0 |     1 |         1
 About wonderful risks decline fresh devices. Here christian men must see now politically desirable provisions. More scientific parents ought to sell ago ol                                            | Important issues liv |       5352 |        0 |     1 |         1
 Above local inhabitants can take. Women harbour slightly with the children. Far new tasks promote under a children. Furious members specify thus new risks. Red looks cannot find quick                | Bad cards must make. |       5356 |        0 |     1 |         1
 Abruptly social trains would inject environmental, good visitors. Red streets put primary groups. Very social years ask often old, final schools. Here slight                                          | Important issues liv |       5360 |        0 |     1 |         1
 Absolutely elegant women must gain well complete                                                                                                                                                       | Conventional childr  |       5369 |        0 |     1 |         1
 Abstract, appropriate risks achieve most. Other po                                                                                                                                                     | Bad cards must make. |       5356 |        0 |     1 |         1
 Academic systems can give generally victorian knees. Straightforward, specific reasons might act on the guards. Of course recent men avoid perhaps                                                     | Important issues liv |       5368 |        0 |     1 |         1
 Accessible, real efforts help less matters. Words might not explore limits. Creditors might meet. High, suitable hands derive already applications; other adults get much before                       | Bad cards must make. |       5356 |        0 |     1 |         1
 Accessible, real efforts help less matters. Words might not explore limits. Creditors might meet. High, suitable hands derive already applications; other adults get much before                       | Conventional childr  |       5356 |        0 |     1 |         1
 Accordingly normal lives wonder always up the lines; male, new figures would sur                                                                                                                       | Conventional childr  |       5324 |        0 |     1 |         1
 Accountants keep later on a years. Left, prepared years ought to sit domestic needs. More traditional comp                                                                                             |                      |       5361 |        0 |     1 |         1
 Acres help now for a pp.. Marginal exhibitions find men. Also                                                                                                                                          |                      |       5361 |        0 |     1 |         1
 Across possible colleagues know even years. Much bloody families shall wor                                                                                                                             | Bad cards must make. |       5341 |        0 |     1 |         1
 Act                                                                                                                                                                                                    |                      |       5329 |        0 |     1 |         1
 Actions play to a friends; national men bring less than months. There turkish numbers hear further american, proper devices. Much extensive women use. Proper choices sta                              | Important issues liv |       5349 |        0 |     1 |         1
 Active,                                                                                                                                                                                                | Conventional childr  |       5358 |        0 |     1 |         1
 Active,                                                                                                                                                                                                | Doors canno          |       5363 |        0 |     1 |         1
 Active,                                                                                                                                                                                                | Important issues liv |       5371 |        0 |     1 |         1
 Active, available books should react more processes. Only democratic fac                                                                                                                               | Doors canno          |       5337 |        0 |     1 |         1
 Active, different governments used to keep unable, chief things. Subtle, releva                                                                                                                        | Bad cards must make. |       5354 |        0 |     1 |         1
 Active, different governments used to keep unable, chief things. Subtle, releva                                                                                                                        | Important issues liv |       5354 |        0 |     1 |         1
 Active, easy rounds manage now with a birds. Previous pieces could develo                                                                                                                              | Doors canno          |       5347 |        0 |     1 |         1
 Actively successive eyes shall remain undoubtedly similar, right others. Patients might surrender also due, sig                                                                                        | Bad cards must make. |       5357 |        0 |     1 |         1
 Activities could not call for a journalists. Continental effects can cope also french classes. Legal teams should inspect problems. Farmers must review in the efforts. Black areas will come          | Conventional childr  |       5367 |        0 |     1 |         1
 Activities promote high, key indians; english req                                                                                                                                                      | Bad cards must make. |       5366 |        0 |     1 |         1
 Activities shall attend; as democratic guns may buy traditional trusts. Surroundings open little new, certain individuals. Arrangements must continue social wee                                       | Bad cards must make. |       5372 |        0 |     1 |         1
 Activities want with the walls. Faint, main minutes stand as activiti                                                                                                                                  | Important issues liv |       5370 |        0 |     1 |         1
 Activities want with the walls. Faint, main minutes stand as activiti                                                                                                                                  |                      |       5370 |        0 |     1 |         1
 Actually correct writers take active weeks. For example underlying acids cannot believe again good,                                                                                                    | Doors canno          |       5360 |        0 |     1 |         1
 Actual members stop mediterranean men. Moral, international strings assist constantly foods. Clear concerned movements could renew sometimes services. Right advantages ensure long main children      |                      |       5353 |        0 |     1 |         1
 Actual, natural areas know. Everyday things love very issues. Crimes remain always days. Active systems remember then. Dreams might tell from the shadows. Leading votes enable personal, ent          | Doors canno          |       5365 |        0 |     1 |         1
 Actual, natural areas know. Everyday things love very issues. Crimes remain always days. Active systems remember then. Dreams might tell from the shadows. Leading votes enable personal, ent          | Important issues liv |       5358 |        0 |     1 |         1
(100 rows)

Time: 4927,819 ms (00:04,928)
