Timing is on.
 item_sk |   d_date   | web_sales | store_sales | web_cumulative | store_cumulative 
      53 | 2001-06-03 |    157.48 |      145.07 |         157.48 |           145.07
      53 | 2001-06-08 |           |      147.23 |         157.48 |           147.23
      54 | 2002-02-02 |     40.64 |             |          40.64 |            29.42
      54 | 2002-02-05 |           |       32.09 |          40.64 |            32.09
      54 | 2002-02-14 |           |       34.26 |          40.64 |            34.26
      55 | 2001-05-25 |           |       66.96 |         131.64 |            66.96
      55 | 2001-05-26 |    160.93 |             |         160.93 |            66.96
      55 | 2001-06-02 |    184.39 |             |         184.39 |            66.96
      55 | 2001-06-07 |    229.95 |      102.16 |         229.95 |           102.16
      55 | 2001-06-10 |           |      151.01 |         229.95 |           151.01
      55 | 2001-06-12 |           |      215.03 |         229.95 |           215.03
      55 | 2001-06-25 |    327.30 |             |         327.30 |           278.53
      60 | 2002-01-19 |     47.96 |             |          47.96 |            26.05
      60 | 2002-03-18 |    214.00 |             |         214.00 |           186.12
      60 | 2002-03-21 |    274.49 |             |         274.49 |           186.12
      60 | 2002-03-24 |           |      186.78 |         274.49 |           186.78
      60 | 2002-03-28 |           |      191.21 |         274.49 |           191.21
      60 | 2002-04-09 |    306.23 |             |         306.23 |           191.21
      60 | 2002-04-23 |           |      220.21 |         306.23 |           220.21
      60 | 2002-04-27 |    505.00 |             |         505.00 |           220.21
      63 | 2001-05-04 |     36.43 |             |          36.43 |             6.88
      69 | 2001-05-21 |    138.30 |      124.35 |         138.30 |           124.35
      69 | 2001-05-23 |    144.77 |             |         144.77 |           124.35
      69 | 2001-05-24 |           |      128.76 |         144.77 |           128.76
      73 | 2001-05-16 |           |        1.14 |          97.04 |             1.14
      73 | 2001-05-24 |    146.56 |      100.60 |         146.56 |           100.60
      73 | 2001-06-05 |           |      132.70 |         146.56 |           132.70
      73 | 2001-06-29 |           |      141.07 |         146.56 |           141.07
      81 | 2001-05-06 |    111.64 |             |         111.64 |            10.96
      81 | 2001-05-11 |           |       48.18 |         111.64 |            48.18
      83 | 2001-05-24 |    141.23 |             |         141.23 |            44.05
      83 | 2001-05-25 |           |       63.05 |         141.23 |            63.05
      84 | 2002-01-02 |     11.04 |        7.92 |          11.04 |             7.92
      85 | 2001-05-16 |           |        3.80 |         372.39 |             3.80
      85 | 2001-05-17 |           |        3.80 |         372.39 |             3.80
      85 | 2001-05-22 |    382.57 |       30.27 |         382.57 |            30.27
(100 rows)

Time: 31877,058 ms (00:31,877)
