Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | s_store_name | s_company_name | d_moy | sum_sales |   avg_monthly_sales    
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     4 |   8118.45 |     14761.069166666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     7 |   8860.07 |     15502.628333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     3 |   9747.04 |     16378.949166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     6 |   8327.76 |     14927.937500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     7 |   8340.08 |     14927.937500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     3 |   7902.00 |     14471.623333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     3 |   9094.47 |     15663.487500000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     3 |   7541.18 |     14108.520833333333
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     6 |   7948.50 |     14510.367500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     6 |   7920.37 |     14471.623333333333
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     7 |   8217.68 |     14761.069166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     5 |   7892.28 |     14410.907500000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     2 |   7598.09 |     14108.520833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     3 |   9004.79 |     15502.628333333333
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     7 |   8003.06 |     14441.612500000000
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     4 |   8075.76 |     14510.367500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     6 |   7986.43 |     14410.907500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     7 |   9247.61 |     15663.487500000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     4 |   8613.54 |     14999.239166666667
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     4 |   9887.58 |     16238.847500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     4 |   8071.81 |     14410.907500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     5 |  10045.60 |     16378.949166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     4 |   8147.95 |     14471.623333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     4 |   7962.72 |     14266.148333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     6 |   8813.62 |     15045.885833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     5 |   8770.08 |     14999.239166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     2 |   8702.59 |     14927.937500000000
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     2 |   8293.73 |     14510.367500000000
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     4 |   8814.94 |     15010.778333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     2 |   8217.36 |     14410.907500000000
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     6 |   8865.51 |     15010.778333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     7 |  10115.25 |     16238.847500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     3 |  10329.46 |     16278.865833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     5 |   9124.28 |     15045.885833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     7 |   9079.74 |     14999.239166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ation        | Unknown        |     3 |   3963.05 |  9874.7600000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     4 |   8629.97 |     14441.612500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     5 |   9123.07 |     14927.937500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     3 |   8628.27 |     14410.907500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | ought        | Unknown        |     7 |   5283.78 |     11035.944166666667
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     5 |  10512.54 |     16238.847500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     4 |   9943.37 |     15663.487500000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     5 |   9798.66 |     15502.628333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     7 |   8819.56 |     14471.623333333333
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     5 |   9128.61 |     14761.069166666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ation        | Unknown        |     7 |   4864.99 | 10479.5291666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     3 |   9214.98 |     14761.069166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     7 |   8878.33 |     14410.907500000000
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     7 |   9513.43 |     15010.778333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     7 |  10910.23 |     16378.949166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ought        | Unknown        |     4 |   4147.83 |  9577.0216666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     5 |   8728.31 |     14108.520833333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     5 |   8922.39 |     14266.148333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | cally        | Unknown        |     3 |   5508.35 | 10832.6466666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ation        | Unknown        |     4 |   4558.67 |  9874.7600000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | ation        | Unknown        |     7 |   4802.09 | 10093.4508333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     1 |  10218.76 |     15502.628333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ought        | Unknown        |     4 |   4335.98 |  9616.0533333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     3 |   9732.13 |     15010.778333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | cally        | Unknown        |     4 |   5574.95 | 10832.6466666666666667
(100 rows)

Time: 4257,323 ms (00:04,257)
