Timing is on.
                                                                                              i_item_desc                                                                                              |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
 Hours can seem then terms. Existing, true workers form. Very common depths could not put truly again common classes. Bodies                                                                           | Doors canno          |       5367 |        0 |     2 |         2
 Hungry, everyday grounds would help very aspects. Standards give to a courts. Cases carry. Members would bring then except a funds. Bare pp. lead. At least                                           | Important issues liv |       5374 |        0 |     2 |         2
 Immediately new units help; kids cannot stand away private f                                                                                                                                          | Conventional childr  |       5371 |        0 |     2 |         2
 Inches escape always rapid rumours. Wars would read by a suggestions. Pink, revolutionary hands must not write with a w                                                                               | Conventional childr  |       5371 |        0 |     2 |         2
 Independent, main patients belong ver                                                                                                                                                                 | Doors canno          |       5374 |        0 |     2 |         2
 Instruments escape at first russian situations. Very disciplinary sentences should speak total, new problems. Rather social women deserve sides. Hard unexpected meetings float already too norm      |                      |       5367 |        0 |     2 |         2
 Intensive years will run long banks. Nerves used to keep just rapid words. Agricultural, numerous guidelines used to try local demands. Concerned actions adopt more than open, civil o               | Conventional childr  |       5371 |        0 |     2 |         2
 Internal standards overcome high free, wrong spots. Straightforward differences realise upwards result                                                                                                | Important issues liv |       5371 |        0 |     2 |         2
 Japanese, national changes must see autonomous differences. Local authorities feel so in the farmers. Overseas old areas would comment. Expenses shall not miss follow                                |                      |       5330 |        0 |     2 |         2
 Knees would take bright, full boxes. Slightly right problems carry                                                                                                                                    | Doors canno          |       5361 |        0 |     2 |         2
 Large, important mark                                                                                                                                                                                 |                      |       5369 |        0 |     2 |         2
 Large, interested attitudes used to know rather. Again alone needs would not find particularly penalties. Risks can leave later publications. Constant bir                                            | Doors canno          |       5374 |        0 |     2 |         2
 Lines cut substantial, coming visitors. Low, open cuts return never old thousands. Accidents should not lead like a circumstances. Pale thin                                                          | Conventional childr  |       5362 |        0 |     2 |         2
 Major concessions sho                                                                                                                                                                                 | Important issues liv |       5361 |        0 |     2 |         2
 Mathematical areas replace ever large, common studies. Detailed, legal vegetables overwhelm there shared studies. Ultimate, natural publishers will not enjoy totally stude                           | Important issues liv |       5363 |        0 |     2 |         2
 Mechanica                                                                                                                                                                                             | Doors canno          |       5332 |        0 |     2 |         2
 Methods should not worry domestic sales. Urban muscles ge                                                                                                                                             | Doors canno          |       5349 |        0 |     2 |         2
 More base weeks prevent to the jobs. Components keep further gold floors; thorough police take now useful, british policies. Ethnic values pick enough. Parties build. Normal                         | Doors canno          |       5374 |        0 |     2 |         2
 More central operations would not improve happy clubs. Permanent wind                                                                                                                                 | Conventional childr  |       5372 |        0 |     2 |         2
 More southern schools get never profits. Parents must not contribute responsible, increased governors; new mi                                                                                         | Conventional childr  |       5355 |        0 |     2 |         2
 Most recent supporters cannot mention here as significant arguments. Particular, determined groups should clear national police. Ethical arms shall not believe so certa                              | Local, mass universi |       5330 |        0 |     2 |         2
 Net newspapers use elderly, la                                                                                                                                                                        | Local, mass universi |       5360 |        0 |     2 |         2
 New, capitalist years stop words. Joint, rural mountains will not prove then by a computers. Regular,                                                                                                 | Conventional childr  |       5365 |        0 |     2 |         2
 New hours say home. Stories shall hear positive rumours. Initial, british children would not concentrate also gradual, industrial women. Mainly special countries feel as                             | Local, mass universi |       5357 |        0 |     2 |         2
 New lines destroy still equivalent, simple features. Specialists shall maintain into the ranks. Days should not make indeed cells. Women reach then general, great                                    | Local, mass universi |       5361 |        0 |     2 |         2
 Nowhere new points will not go places. Capable, local courses explore both barely distinctive numbers. Seriously recent areas begin rare, reas                                                        | Local, mass universi |       5368 |        0 |     2 |         2
 Only main things shall not tell just small fields. Old members ma                                                                                                                                     | Bad cards must make. |       5369 |        0 |     2 |         2
 Orange, radical purp                                                                                                                                                                                  | Important issues liv |       5358 |        0 |     2 |         2
 Other, major operators could not explain to the feet. Details would get particular, considerab                                                                                                        | Important issues liv |       5370 |        0 |     2 |         2
 Other trustees achieve general conservatives. Systems let almost men; only professional problems must spot then free devices. English authorities must sing current, labour places. Reluctan          | Doors canno          |       5366 |        0 |     2 |         2
 Pale workers concentrate alone dirty, right collections. Wealthy, simple groups express. Winners may supplement even. Independent, academic                                                           | Local, mass universi |       5367 |        0 |     2 |         2
 Parliamentary, primary contents can work slig                                                                                                                                                         | Important issues liv |       5357 |        0 |     2 |         2
 Perhaps contemporary steps must move thus interesting blocks. Odd experts control incidents. Thanks pass indeed single photographs. Ever strange parts ask healthy, litt                              | Doors canno          |       5370 |        0 |     2 |         2
 Pictures shall offer royal, british details. Just new issues will inflict pure functions. Options notice only; tightly local sides shall not make now ago other years. Successful wom                 | Bad cards must make. |       5354 |        0 |     2 |         2
 Pictures shall offer royal, british details. Just new issues will inflict pure functions. Options notice only; tightly local sides shall not make now ago other years. Successful wom                 | Conventional childr  |       5354 |        0 |     2 |         2
 Pink tests shall not serve exact, southern comments. Diseases summarize there good languages. Countries                                                                                               | Doors canno          |       5362 |        0 |     2 |         2
 Pink tests shall not serve exact, southern comments. Diseases summarize there good languages. Countries                                                                                               | Important issues liv |       5362 |        0 |     2 |         2
 Planned cigarettes shall reply; special teeth save particularly social, major crews. Tons admit indeed; exactly future companies focus both continuing men. Private, only shots                       | Important issues liv |       5370 |        0 |     2 |         2
 Poems blow political, modest functions. Teams cover please rapidly residential others. As heavy units send medical, polish humans.                                                                    | Important issues liv |       5367 |        0 |     2 |         2
 Points guess notably supposed, impor                                                                                                                                                                  | Doors canno          |       5370 |        0 |     2 |         2
 Political factors might use rather most recent years. Other                                                                                                                                           | Important issues liv |       5371 |        0 |     2 |         2
 Political months shall stay in a cells. Only certain states get particularly eastern, crazy days. Again good years will understand from time to time developments. Still othe                         | Conventional childr  |       5361 |        0 |     2 |         2
 Possible schools carry primarily dual rises; important meetings could continue other passengers. More scottish things might not fall orders. Right, unable expectati                                  | Bad cards must make. |       5371 |        0 |     2 |         2
(100 rows)

Time: 8044,669 ms (00:08,045)
