Timing is on.
   total_sum   |                     i_category                     |                      i_class                       | lochierarchy | rank_within_parent 
    9187874.54 | Jewelry                                            | womens watch                                       |            0 |                  2
    9028972.72 | Jewelry                                            | custom                                             |            0 |                  3
    8667750.48 | Jewelry                                            | pendants                                           |            0 |                  4
    8649380.04 | Jewelry                                            | jewelry boxes                                      |            0 |                  5
    7960683.35 | Jewelry                                            | bracelets                                          |            0 |                  6
    7882304.26 | Jewelry                                            | costume                                            |            0 |                  7
    7817327.76 | Jewelry                                            | gold                                               |            0 |                  8
    7803936.07 | Jewelry                                            | mens watch                                         |            0 |                  9
    7803000.66 | Jewelry                                            | estate                                             |            0 |                 10
    7757702.38 | Jewelry                                            | rings                                              |            0 |                 11
    7740709.61 | Jewelry                                            | semi-precious                                      |            0 |                 12
    7699654.56 | Jewelry                                            | birdal                                             |            0 |                 13
    7645771.35 | Jewelry                                            | loose stones                                       |            0 |                 14
    7254869.41 | Jewelry                                            | diamonds                                           |            0 |                 15
    6915736.52 | Jewelry                                            | earings                                            |            0 |                 16
     109743.97 | Jewelry                                            |                                                    |            0 |                 17
   34170894.11 | Men                                                | shirts                                             |            0 |                  1
   31564246.90 | Men                                                | sports-apparel                                     |            0 |                  2
   31454921.10 | Men                                                | pants                                              |            0 |                  3
   31375085.14 | Men                                                | accessories                                        |            0 |                  4
      95134.12 | Men                                                |                                                    |            0 |                  5
   35793528.64 | Music                                              | pop                                                |            0 |                  1
   34233953.20 | Music                                              | classical                                          |            0 |                  2
   32653919.20 | Music                                              | country                                            |            0 |                  3
   32451973.66 | Music                                              | rock                                               |            0 |                  4
     314770.19 | Music                                              |                                                    |            0 |                  5
   34616522.79 | Shoes                                              | mens                                               |            0 |                  1
   33860385.45 | Shoes                                              | athletic                                           |            0 |                  2
   31789258.89 | Shoes                                              | kids                                               |            0 |                  3
   31219659.97 | Shoes                                              | womens                                             |            0 |                  4
      93702.90 | Shoes                                              |                                                    |            0 |                  5
(100 rows)

Time: 3074,608 ms (00:03,075)
