Timing is on.
        substr        |            sm_type             |    cc_name    | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days 
 Important issues liv | OVERNIGHT                      | North Midwest |     964 |        947 |        904 |           0 |         0
 Important issues liv | OVERNIGHT                      | NY Metro      |     937 |        944 |        969 |           0 |         0
 Important issues liv | REGULAR                        | Mid Atlantic  |     953 |        978 |        938 |           0 |         0
 Important issues liv | REGULAR                        | North Midwest |     898 |       1006 |       1036 |           0 |         0
 Important issues liv | REGULAR                        | NY Metro      |     919 |        943 |        945 |           0 |         0
 Important issues liv | TWO DAY                        | Mid Atlantic  |     910 |        922 |       1001 |           0 |         0
 Important issues liv | TWO DAY                        | North Midwest |     931 |        918 |       1000 |           0 |         0
 Important issues liv | TWO DAY                        | NY Metro      |     928 |        955 |        971 |           0 |         0
                      | EXPRESS                        | Mid Atlantic  |    1290 |       1316 |       1252 |           0 |         0
                      | EXPRESS                        | North Midwest |    1211 |       1305 |       1252 |           0 |         0
                      | EXPRESS                        | NY Metro      |    1244 |       1273 |       1276 |           0 |         0
                      | LIBRARY                        | Mid Atlantic  |     904 |        984 |        934 |           0 |         0
                      | LIBRARY                        | North Midwest |     978 |        978 |        947 |           0 |         0
                      | LIBRARY                        | NY Metro      |     920 |        953 |       1009 |           0 |         0
                      | NEXT DAY                       | Mid Atlantic  |    1241 |       1255 |       1261 |           0 |         0
                      | NEXT DAY                       | North Midwest |    1268 |       1299 |       1293 |           0 |         0
                      | NEXT DAY                       | NY Metro      |    1255 |       1282 |       1302 |           0 |         0
                      | OVERNIGHT                      | Mid Atlantic  |     889 |       1022 |        945 |           0 |         0
                      | OVERNIGHT                      | North Midwest |     944 |        931 |       1015 |           0 |         0
                      | OVERNIGHT                      | NY Metro      |     929 |        928 |        972 |           0 |         0
                      | REGULAR                        | Mid Atlantic  |     918 |        998 |        951 |           0 |         0
                      | REGULAR                        | North Midwest |     920 |        954 |        986 |           0 |         0
                      | REGULAR                        | NY Metro      |     947 |        962 |        942 |           0 |         0
                      | TWO DAY                        | Mid Atlantic  |     877 |        959 |        987 |           0 |         0
                      | TWO DAY                        | North Midwest |     929 |        982 |        987 |           0 |         0
                      | TWO DAY                        | NY Metro      |     870 |        945 |       1019 |           0 |         0
(90 rows)

Time: 1328,504 ms (00:01,329)
