Timing is on.
                                                                                               i_item_desc                                                                                               |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
 All glad keys like as hours. Dual, sound properties should sign at a russians. Sudden, available clients thrive sometimes relations. Partly friendly farmers could not wa                               | Bad cards must make. |       5374 |        0 |     1 |         1
 Allies might not say autho                                                                                                                                                                              | Conventional childr  |       5356 |        0 |     1 |         1
 All right single men must not predict to the organisa                                                                                                                                                   | Doors canno          |       5362 |        0 |     1 |         1
 Almost new charges prove necessary provinces. Days lose almost                                                                                                                                          | Bad cards must make. |       5325 |        0 |     1 |         1
 Almost other shares go. Soft, old items used to understand. Typically complete names stop here correct enemies.                                                                                         | Important issues liv |       5342 |        0 |     1 |         1
 Almost senior numbers must pay sure, human taxes. Ideas use; flexi                                                                                                                                      | Important issues liv |       5365 |        0 |     1 |         1
 Alone, overall patients would take anyhow good, surprising emissions. Well significan                                                                                                                   | Bad cards must make. |       5333 |        0 |     1 |         1
 Alone relevant nights pretend so complete years. Currently new unions make horizontally bills. Most political troops could give most possible, australian elements; flowers shall recall most pop       | Doors canno          |       5354 |        0 |     1 |         1
 Alone secret children prove socially routine competitors.                                                                                                                                               | Bad cards must make. |       5373 |        0 |     1 |         1
 Alone, small kinds seem extremely aware, potential points. Classes must increase good places. St                                                                                                        |                      |       5333 |        0 |     1 |         1
 Alone working-class dates open from a issues. Most european concessions will not tell personal areas; central, poor officials might not act                                                             | Conventional childr  |       5336 |        0 |     1 |         1
 A lot economic others construct later by a meetings; extraordinary, liable beings might not draw about a legs; early p                                                                                  | Conventional childr  |       5354 |        0 |     1 |         1
 Alre                                                                                                                                                                                                    | Bad cards must make. |       5372 |        0 |     1 |         1
 Already advisory things seek more before awkward clothes. Customers offer social, quick needs. Differences mi                                                                                           | Doors canno          |       5324 |        0 |     1 |         1
 Already dark songs might encourage too more limited women; real, able wings know suddenly. Recent writers used to change lives. Inevitably difficult claims ought to ensure warmly differe              | Conventional childr  |       5329 |        0 |     1 |         1
 Already successful police hold more free holidays. Alone, sensitive beds volunteer available poems. Interesting communities could fly. C                                                                |                      |       5361 |        0 |     1 |         1
 Already successful police hold more free holidays. Alone, sensitive beds volunteer available poems. Interesting communities could fly. C                                                                |                      |       5368 |        0 |     1 |         1
(100 rows)

Time: 1612,096 ms (00:01,612)
