Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |   sumsales   | rk  
 Books                                              | mystery                                            | corpunivamalg #2                                   |                |        |       |       |            |    847500.37 |  73
 Books                                              | mystery                                            | corpunivamalg #3                                   |                |        |       |       |            |    820055.12 |  77
 Books                                              | mystery                                            | corpunivamalg #6                                   |                |        |       |       |            |   1086237.73 |  50
 Books                                              | mystery                                            | corpunivamalg #8                                   |                |        |       |       |            |    695327.20 |  89
 Books                                              | mystery                                            |                                                    |                |        |       |       |            |   5459151.86 |  14
 Books                                              | parenting                                          | corpmaxi #12                                       |                |        |       |       |            |    960323.51 |  59
 Books                                              | parenting                                          | corpmaxi #2                                        |                |        |       |       |            |    891974.04 |  66
 Books                                              | parenting                                          | corpmaxi #6                                        |                |        |       |       |            |   1761312.50 |  19
 Books                                              | parenting                                          | corpmaxi #8                                        |                |        |       |       |            |    718190.06 |  85
 Books                                              | parenting                                          | corpmaxi #9                                        |                |        |       |       |            |    602477.05 |  97
 Books                                              | parenting                                          |                                                    |                |        |       |       |            |   6082985.79 |   9
 Books                                              | reference                                          | brandmaxi #12                                      |                |        |       |       |            |   1381169.85 |  32
 Books                                              | reference                                          | brandmaxi #2                                       |                |        |       |       |            |   1174570.59 |  44
 Books                                              | reference                                          | brandmaxi #3                                       |                |        |       |       |            |    900930.05 |  65
 Books                                              | reference                                          | brandmaxi #6                                       |                |        |       |       |            |   1262795.34 |  37
 Books                                              | reference                                          | brandmaxi #8                                       |                |        |       |       |            |   1391418.58 |  31
 Books                                              | reference                                          |                                                    |                |        |       |       |            |   7352605.75 |   4
 Books                                              | romance                                            | namelessmaxi #12                                   |                |        |       |       |            |   1411915.12 |  28
 Books                                              | romance                                            | namelessmaxi #2                                    |                |        |       |       |            |   1183486.10 |  43
 Books                                              | romance                                            | namelessmaxi #3                                    |                |        |       |       |            |   1355803.62 |  35
 Books                                              | romance                                            | namelessmaxi #6                                    |                |        |       |       |            |   1111590.22 |  49
 Books                                              | romance                                            | namelessmaxi #8                                    |                |        |       |       |            |    825054.15 |  76
 Books                                              | romance                                            | namelessmaxi #9                                    |                |        |       |       |            |    604038.60 |  96
 Books                                              | romance                                            |                                                    |                |        |       |       |            |   7178934.42 |   5
 Books                                              | science                                            | maximaxi #2                                        |                |        |       |       |            |    718901.39 |  84
 Books                                              | science                                            | maximaxi #6                                        |                |        |       |       |            |   1395839.13 |  30
 Books                                              | science                                            | maximaxi #8                                        |                |        |       |       |            |   1064186.92 |  51
 Books                                              | science                                            | maximaxi #9                                        |                |        |       |       |            |    619048.04 |  93
 Books                                              | science                                            |                                                    |                |        |       |       |            |   5383524.67 |  16
 Books                                              | self-help                                          | exportiunivamalg #2                                |                |        |       |       |            |   1209454.66 |  42
 Books                                              | self-help                                          | exportiunivamalg #6                                |                |        |       |       |            |   1373357.62 |  33
 Books                                              | self-help                                          | exportiunivamalg #8                                |                |        |       |       |            |    734816.96 |  82
 Books                                              | self-help                                          | exportiunivamalg #9                                |                |        |       |       |            |   1050647.37 |  52
 Books                                              | self-help                                          |                                                    |                |        |       |       |            |   6017998.45 |  10
 Books                                              | sports                                             | edu packunivamalg #12                              |                |        |       |       |            |    920757.33 |  63
 Books                                              | sports                                             | edu packunivamalg #6                               |                |        |       |       |            |   1529943.53 |  24
 Books                                              | sports                                             | edu packunivamalg #8                               |                |        |       |       |            |   1236874.09 |  40
 Books                                              | sports                                             |                                                    |                |        |       |       |            |   5935737.66 |  11
 Books                                              | travel                                             | univunivamalg #12                                  |                |        |       |       |            |   1129771.56 |  48
 Books                                              | travel                                             | univunivamalg #2                                   |                |        |       |       |            |    990826.63 |  55
 Books                                              | travel                                             | univunivamalg #3                                   |                |        |       |       |            |    828080.36 |  75
 Books                                              | travel                                             | univunivamalg #6                                   |                |        |       |       |            |    621094.46 |  92
 Books                                              | travel                                             | univunivamalg #8                                   |                |        |       |       |            |   1410549.49 |  29
 Books                                              | travel                                             | univunivamalg #9                                   |                |        |       |       |            |    708446.96 |  86
 Books                                              | travel                                             |                                                    |                |        |       |       |            |   6253100.41 |   8
 Books                                              |                                                    |                                                    |                |        |       |       |            | 101456197.73 |   1
(100 rows)

Time: 10634,546 ms (00:10,635)
