Timing is on.
                      i_brand                       | d_year |   avg_monthly_sales   | sum_sales |   psum   |   nsum   
 importoedu pack #1                                 |   1999 | 7101.7800000000000000 |   3066.29 |  2518.33 |  5005.85
 edu packedu pack #1                                |   1999 | 6421.7925000000000000 |   2394.57 |  3149.35 |  4472.43
 edu packscholar #1                                 |   1999 | 7966.5791666666666667 |   3944.74 |  5030.35 | 10791.61
 edu packimporto #1                                 |   1999 | 7852.6275000000000000 |   3831.92 |  3737.23 |  4353.90
 importoedu pack #1                                 |   1999 | 6959.9341666666666667 |   2951.09 |  4142.26 |  3271.07
 amalgimporto #1                                    |   1999 | 7082.1291666666666667 |   3075.18 |  5231.88 |  8953.66
 amalgedu pack #1                                   |   1999 | 6904.6891666666666667 |   2902.26 |  4942.02 |  8793.71
 importoimporto #1                                  |   1999 | 7357.0608333333333333 |   3356.15 | 11222.19 |  3770.17
 exportiexporti #1                                  |   1999 | 7698.3408333333333333 |   3714.25 |  4686.40 |  9752.38
 exportiexporti #1                                  |   1999 | 7530.3750000000000000 |   3586.50 |  3960.74 |  3916.86
 amalgexporti #1                                    |   1999 | 6518.7508333333333333 |   2587.68 |  4177.93 |  3342.60
 edu packscholar #1                                 |   1999 | 8078.6900000000000000 |   4148.83 |  5184.39 |  5483.81
 exportiexporti #1                                  |   1999 | 7245.2850000000000000 |   3350.65 |  3876.83 |  5869.66
 exportiexporti #1                                  |   1999 | 7530.3750000000000000 |   3645.95 | 13367.51 |  3960.74
 exportiedu pack #1                                 |   1999 | 6885.3208333333333333 |   3013.95 |  4139.82 |  4328.03
 importoexporti #1                                  |   1999 | 6690.0916666666666667 |   2827.63 |  3965.68 |  7733.16
 edu packscholar #1                                 |   1999 | 8078.6900000000000000 |   4244.46 |  3934.06 |  4448.50
 edu packimporto #1                                 |   1999 | 7912.5375000000000000 |   4082.68 | 14333.30 |  4383.51
 exportiexporti #1                                  |   1999 | 7698.3408333333333333 |   3883.01 |  4723.97 |  4590.03
 exportischolar #1                                  |   1999 | 7243.9941666666666667 |   3430.04 |  3662.97 |  3617.09
 exportischolar #1                                  |   1999 | 7047.8033333333333333 |   3237.56 | 15805.49 |  4308.87
 exportischolar #1                                  |   1999 | 7047.8033333333333333 |   3265.21 |  2832.46 |  3885.17
 exportischolar #1                                  |   1999 | 7593.9291666666666667 |   3821.24 |  4748.20 |  4271.45
 edu packimporto #1                                 |   1999 | 7912.5375000000000000 |   4144.67 |  4954.05 |  5070.06
 amalgscholar #1                                    |   1999 | 6926.0608333333333333 |   3165.20 |  4688.23 |  4286.05
 amalgedu pack #1                                   |   1999 | 6642.0858333333333333 |   2928.82 |  3648.57 |  3892.32
 edu packscholar #1                                 |   1999 | 7966.5791666666666667 |   4269.89 |  4384.51 |  4452.73
 amalgimporto #1                                    |   1999 | 7082.1291666666666667 |   3392.25 |  4549.47 |  3653.84
 importoedu pack #1                                 |   1999 | 6959.9341666666666667 |   3271.07 |  2951.09 |  4231.88
 amalgscholar #1                                    |   1999 | 6876.8808333333333333 |   3190.36 |  3536.29 |  4637.07
 importoamalg #1                                    |   1999 | 6479.2983333333333333 |   2804.94 | 13543.31 |  3515.21
 amalgedu pack #1                                   |   1999 | 6829.9566666666666667 |   3178.20 |  4120.60 |  5910.98
 amalgimporto #1                                    |   1999 | 7082.1291666666666667 |   3450.11 |  3653.84 |  5965.16
 edu packamalg #1                                   |   1999 | 6608.4858333333333333 |   2976.95 |  3489.35 |  3812.22
 edu packscholar #1                                 |   1999 | 8078.6900000000000000 |   4448.50 |  4244.46 |  5184.39
 amalgscholar #1                                    |   1999 | 6659.4933333333333333 |   3031.62 |  4214.81 |  9493.69
 exportischolar #1                                  |   1999 | 7243.9941666666666667 |   3617.09 |  3430.04 |  3871.67
 importoimporto #1                                  |   1999 | 7530.9975000000000000 |   3913.80 |  4405.46 |  7859.96
 exportiexporti #1                                  |   1999 | 7530.3750000000000000 |   3916.86 |  3586.50 |  4747.06
 importoexporti #1                                  |   1999 | 6809.5958333333333333 |   3200.10 |  4421.85 |  5318.02
 importoimporto #1                                  |   1999 | 7357.0608333333333333 |   3770.17 |  3356.15 |  5114.32
 amalgexporti #1                                    |   1999 | 6557.5775000000000000 |   2975.00 |  3418.40 |  5079.56
 edu packscholar #1                                 |   1999 | 7966.5791666666666667 |   4384.51 |  5279.09 |  4269.89
 exportischolar #1                                  |   1999 | 7243.9941666666666667 |   3662.97 | 14285.88 |  3430.04
 exportiexporti #1                                  |   1999 | 7530.3750000000000000 |   3960.74 |  3645.95 |  3586.50
 amalgimporto #1                                    |   1999 | 6611.3358333333333333 |   3066.19 | 11053.20 |  3203.24
 edu packamalg #1                                   |   1999 | 6061.2108333333333333 |   2522.22 |  2674.89 |  3975.90
 exportiedu pack #1                                 |   1999 | 7045.1641666666666667 |   3509.17 |  5252.01 |  3987.99
 edu packimporto #1                                 |   1999 | 7852.6275000000000000 |   4318.23 | 16397.10 |  4465.92
 edu packimporto #1                                 |   1999 | 7912.5375000000000000 |   4383.51 |  4082.68 |  4954.05
 edu packscholar #1                                 |   1999 | 7966.5791666666666667 |   4452.73 |  4269.89 |  5476.13
 importoexporti #1                                  |   1999 | 6832.8216666666666667 |   3330.21 | 13097.88 |  3496.46
 edu packimporto #1                                 |   1999 | 7852.6275000000000000 |   4353.90 |  3831.92 |  5689.03
 exportiamalg #1                                    |   1999 | 6013.0883333333333333 |   2536.08 |  3406.41 |  3718.65
 exportischolar #1                                  |   1999 | 7593.9291666666666667 |   4121.47 |  4271.45 |  5234.85
 amalgscholar #1                                    |   1999 | 6876.8808333333333333 |   3406.89 | 13714.11 |  3536.29
 importoimporto #1                                  |   1999 | 7530.9975000000000000 |   4062.17 |  6125.77 |  4715.58
 exportiimporto #1                                  |   1999 | 5797.3825000000000000 |   2330.52 |  2965.11 |  2842.02
 edu packexporti #1                                 |   1999 | 6100.6433333333333333 |   2633.95 |  3676.43 |  3130.51
 amalgimporto #1                                    |   1999 | 6713.8200000000000000 |   3268.58 | 13596.45 |  4098.03
 exportiamalg #1                                    |   1999 | 6031.0425000000000000 |   2588.60 |  3554.29 |  3915.46
 amalgimporto #1                                    |   1999 | 7082.1291666666666667 |   3653.84 |  3392.25 |  3450.11
 edu packscholar #1                                 |   1999 | 8223.7191666666666667 |   4797.32 |  4091.54 |  5028.71
 exportiexporti #1                                  |   1999 | 7530.3750000000000000 |   4104.53 |  4747.06 |  4586.73
 importoamalg #1                                    |   1999 | 6352.6825000000000000 |   2928.62 |  3718.55 |  3387.14
 edu packimporto #1                                 |   1999 | 7659.2416666666666667 |   4246.37 |  4489.63 |  4759.01
 edu packedu pack #1                                |   1999 | 6578.7858333333333333 |   3166.49 |  4213.93 |  4376.74
 amalgedu pack #1                                   |   1999 | 6829.9566666666666667 |   3417.69 |  3722.75 |  4120.60
 exportiamalg #1                                    |   1999 | 6171.5441666666666667 |   2760.78 |  3853.84 |  3125.47
 amalgimporto #1                                    |   1999 | 6611.3358333333333333 |   3203.24 |  3066.19 |  4613.61
 edu packimporto #1                                 |   1999 | 7852.6275000000000000 |   4465.92 |  4318.23 |  3737.23
 edu packamalg #1                                   |   1999 | 6061.2108333333333333 |   2674.89 |  3376.95 |  2522.22
 exportischolar #1                                  |   1999 | 7047.8033333333333333 |   3667.60 |  3885.17 |  5088.70
 importoexporti #1                                  |   1999 | 6690.0916666666666667 |   3310.89 |  3486.35 |  5014.28
 exportischolar #1                                  |   1999 | 7243.9941666666666667 |   3871.67 |  3617.09 |  4628.08
 importoimporto #1                                  |   1999 | 7640.4916666666666667 |   4270.44 |  4931.98 |  4291.30
 exportiexporti #1                                  |   1999 | 7245.2850000000000000 |   3876.83 |  4799.92 |  3350.65
 exportiedu pack #1                                 |   1999 | 7045.1641666666666667 |   3684.37 |  4372.20 |  8403.23
 importoimporto #1                                  |   1999 | 7640.4916666666666667 |   4291.30 |  4270.44 |  3534.12
 amalgimporto #1                                    |   1999 | 6611.3358333333333333 |   3262.24 |  4613.61 |  4531.38
 amalgscholar #1                                    |   1999 | 6876.8808333333333333 |   3528.80 |  2816.26 |  4750.85
(100 rows)

Time: 237296,937 ms (03:57,297)
