Timing is on.
  total_sum   |                     i_category                     |                      i_class                       | lochierarchy | rank_within_parent 
   1852075.50 | Home                                               | furniture                                          |            0 |                 11
   1849959.10 | Home                                               | mattresses                                         |            0 |                 12
   1737076.40 | Home                                               | flatware                                           |            0 |                 13
   1623845.43 | Home                                               | bathroom                                           |            0 |                 14
   1569903.42 | Home                                               | kids                                               |            0 |                 15
   1451181.70 | Home                                               | blinds/shades                                      |            0 |                 16
     98302.46 | Home                                               |                                                    |            0 |                 17
   2399584.84 | Jewelry                                            | custom                                             |            0 |                  1
   2274998.63 | Jewelry                                            | pendants                                           |            0 |                  2
   2248593.98 | Jewelry                                            | costume                                            |            0 |                  3
   2163344.41 | Jewelry                                            | bracelets                                          |            0 |                  4
   2066144.20 | Jewelry                                            | consignment                                        |            0 |                  5
   1984268.51 | Jewelry                                            | womens watch                                       |            0 |                  6
   1981190.88 | Jewelry                                            | jewelry boxes                                      |            0 |                  7
   1945367.64 | Jewelry                                            | gold                                               |            0 |                  8
   1945283.55 | Jewelry                                            | birdal                                             |            0 |                  9
   1795942.56 | Jewelry                                            | semi-precious                                      |            0 |                 10
   1769902.96 | Jewelry                                            | mens watch                                         |            0 |                 11
   1692453.01 | Jewelry                                            | rings                                              |            0 |                 12
   1640614.18 | Jewelry                                            | diamonds                                           |            0 |                 13
   1576698.78 | Jewelry                                            | estate                                             |            0 |                 14
   1499133.62 | Jewelry                                            | earings                                            |            0 |                 15
   1335956.30 | Jewelry                                            | loose stones                                       |            0 |                 16
   8561688.57 | Men                                                | shirts                                             |            0 |                  1
   8278734.50 | Men                                                | pants                                              |            0 |                  2
   8088821.89 | Men                                                | accessories                                        |            0 |                  3
   8011279.08 | Men                                                | sports-apparel                                     |            0 |                  4
     33170.63 | Men                                                |                                                    |            0 |                  5
   8763791.99 | Music                                              | pop                                                |            0 |                  1
   8295383.24 | Music                                              | country                                            |            0 |                  2
   8062942.08 | Music                                              | classical                                          |            0 |                  3
   7428010.57 | Music                                              | rock                                               |            0 |                  4
     42404.24 | Music                                              |                                                    |            0 |                  5
   9455009.59 | Shoes                                              | mens                                               |            0 |                  1
   8424714.62 | Shoes                                              | womens                                             |            0 |                  2
   8330103.32 | Shoes                                              | athletic                                           |            0 |                  3
   7764064.81 | Shoes                                              | kids                                               |            0 |                  4
     64475.12 | Shoes                                              |                                                    |            0 |                  5
   2577308.76 | Sports                                             | athletic shoes                                     |            0 |                  1
   2540602.71 | Sports                                             | pools                                              |            0 |                  2
   2456875.72 | Sports                                             | golf                                               |            0 |                  3
(100 rows)

Time: 905,074 ms
