Timing is on.
                   i_product_name                   |                      i_brand                       |                      i_class                       |                     i_category                     |         qoh          
 eingablepripripri                                  |                                                    |                                                    |                                                    | 445.1724137931034483
 esebarableation                                    | namelessbrand #5                                   | lighting                                           | Home                                               | 445.1842105263157895
 esebarableation                                    | namelessbrand #5                                   | lighting                                           |                                                    | 445.1842105263157895
 esebarableation                                    | namelessbrand #5                                   |                                                    |                                                    | 445.1842105263157895
 esebarableation                                    |                                                    |                                                    |                                                    | 445.1842105263157895
 ableantiationcallypri                              | exportiimporto #1                                  | pants                                              | Men                                                | 445.5000000000000000
 ableantiationcallypri                              | exportiimporto #1                                  | pants                                              |                                                    | 445.5000000000000000
 ableantiationcallypri                              | exportiimporto #1                                  |                                                    |                                                    | 445.5000000000000000
 ableantiationcallypri                              |                                                    |                                                    |                                                    | 445.5000000000000000
 oughtationantipri                                  | exportischolar #2                                  | pop                                                | Music                                              | 445.6006711409395973
 oughtationantipri                                  | exportischolar #2                                  | pop                                                |                                                    | 445.6006711409395973
 oughtationantipri                                  | exportischolar #2                                  |                                                    |                                                    | 445.6006711409395973
 oughtationantipri                                  |                                                    |                                                    |                                                    | 445.6006711409395973
 eseantieingableought                               | edu packunivamalg #3                               | audio                                              | Electronics                                        | 445.6500000000000000
 eseantieingableought                               | edu packunivamalg #3                               | audio                                              |                                                    | 445.6500000000000000
 eseantieingableought                               | edu packunivamalg #3                               |                                                    |                                                    | 445.6500000000000000
 eseantieingableought                               |                                                    |                                                    |                                                    | 445.6500000000000000
 antipricallyeseese                                 | importoimporto #2                                  | shirts                                             | Men                                                | 445.7979797979797980
 antipricallyeseese                                 | importoimporto #2                                  | shirts                                             |                                                    | 445.7979797979797980
 antipricallyeseese                                 | importoimporto #2                                  |                                                    |                                                    | 445.7979797979797980
 antipricallyeseese                                 |                                                    |                                                    |                                                    | 445.7979797979797980
 barationoughtantiought                             | edu packnameless #1                                | glassware                                          | Home                                               | 445.8527397260273973
 barationoughtantiought                             | edu packnameless #1                                | glassware                                          |                                                    | 445.8527397260273973
 barationoughtantiought                             | edu packnameless #1                                |                                                    |                                                    | 445.8527397260273973
 barationoughtantiought                             |                                                    |                                                    |                                                    | 445.8527397260273973
 barn stesebarpri                                   | importoedu pack #1                                 | mens                                               | Shoes                                              | 446.0856164383561644
 barn stesebarpri                                   | importoedu pack #1                                 | mens                                               |                                                    | 446.0856164383561644
 barn stesebarpri                                   | importoedu pack #1                                 |                                                    |                                                    | 446.0856164383561644
 barn stesebarpri                                   |                                                    |                                                    |                                                    | 446.0856164383561644
 n stpriesen stpri                                  | exportiunivamalg #17                               | dvd/vcr players                                    | Electronics                                        | 447.1554054054054054
 n stpriesen stpri                                  | exportiunivamalg #17                               | dvd/vcr players                                    |                                                    | 447.1554054054054054
 n stpriesen stpri                                  | exportiunivamalg #17                               |                                                    |                                                    | 447.1554054054054054
 n stpriesen stpri                                  |                                                    |                                                    |                                                    | 447.1554054054054054
 callycallycallyoughtought                          | importoimporto #1                                  | shirts                                             | Men                                                | 447.6220735785953177
 callycallycallyoughtought                          | importoimporto #1                                  | shirts                                             |                                                    | 447.6220735785953177
 callycallycallyoughtought                          | importoimporto #1                                  |                                                    |                                                    | 447.6220735785953177
 callycallycallyoughtought                          |                                                    |                                                    |                                                    | 447.6220735785953177
 eseantin steingpri                                 | amalgimporto #1                                    | accessories                                        | Men                                                | 447.6351351351351351
 eseantin steingpri                                 | amalgimporto #1                                    | accessories                                        |                                                    | 447.6351351351351351
 eseantin steingpri                                 | amalgimporto #1                                    |                                                    |                                                    | 447.6351351351351351
 eseantin steingpri                                 |                                                    |                                                    |                                                    | 447.6351351351351351
 oughteingcallyoughtpri                             | exportibrand #2                                    | kids                                               | Home                                               | 447.7979797979797980
 oughteingcallyoughtpri                             | exportibrand #2                                    | kids                                               |                                                    | 447.7979797979797980
 oughteingcallyoughtpri                             | exportibrand #2                                    |                                                    |                                                    | 447.7979797979797980
 oughteingcallyoughtpri                             |                                                    |                                                    |                                                    | 447.7979797979797980
(100 rows)

Time: 84011,495 ms (01:24,011)
