Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |   sumsales   | rk  
 Books                                              | home repair                                        | importounivamalg #12                               |                |        |       |       |            |   3631279.81 |  63
 Books                                              | home repair                                        | importounivamalg #2                                |                |        |       |       |            |   3849831.16 |  55
 Books                                              | home repair                                        | importounivamalg #6                                |                |        |       |       |            |   3168528.49 |  84
 Books                                              | home repair                                        | importounivamalg #8                                |                |        |       |       |            |   4920175.40 |  28
 Books                                              | home repair                                        | importounivamalg #9                                |                |        |       |       |            |   2929421.62 |  93
 Books                                              | home repair                                        |                                                    |                |        |       |       |            |  23418984.72 |  14
 Books                                              | mystery                                            | corpunivamalg #12                                  |                |        |       |       |            |   4775539.53 |  37
 Books                                              | mystery                                            | corpunivamalg #2                                   |                |        |       |       |            |   3275764.36 |  79
 Books                                              | mystery                                            | corpunivamalg #3                                   |                |        |       |       |            |   2906733.88 |  94
 Books                                              | mystery                                            | corpunivamalg #6                                   |                |        |       |       |            |   3546540.23 |  67
 Books                                              | mystery                                            | corpunivamalg #8                                   |                |        |       |       |            |   4807474.36 |  35
 Books                                              | mystery                                            |                                                    |                |        |       |       |            |  23467590.98 |  13
 Books                                              | parenting                                          | corpmaxi #12                                       |                |        |       |       |            |   3577959.52 |  66
 Books                                              | parenting                                          | corpmaxi #2                                        |                |        |       |       |            |   3273226.96 |  80
 Books                                              | parenting                                          | corpmaxi #3                                        |                |        |       |       |            |   3267109.28 |  81
 Books                                              | parenting                                          | corpmaxi #6                                        |                |        |       |       |            |   4902956.98 |  29
 Books                                              | parenting                                          | corpmaxi #8                                        |                |        |       |       |            |   3137832.29 |  86
 Books                                              | parenting                                          | corpmaxi #9                                        |                |        |       |       |            |   3364289.96 |  73
 Books                                              | parenting                                          |                                                    |                |        |       |       |            |  23658534.33 |  12
 Books                                              | reference                                          | brandmaxi #12                                      |                |        |       |       |            |   2751531.73 |  99
 Books                                              | reference                                          | brandmaxi #2                                       |                |        |       |       |            |   3284984.86 |  78
 Books                                              | reference                                          | brandmaxi #3                                       |                |        |       |       |            |   2783715.88 |  97
 Books                                              | reference                                          | brandmaxi #6                                       |                |        |       |       |            |   5022335.61 |  23
 Books                                              | reference                                          | brandmaxi #8                                       |                |        |       |       |            |   4480467.40 |  44
 Books                                              | reference                                          |                                                    |                |        |       |       |            |  22455891.41 |  15
 Books                                              | romance                                            | namelessmaxi #12                                   |                |        |       |       |            |   4842362.19 |  32
 Books                                              | romance                                            | namelessmaxi #2                                    |                |        |       |       |            |   4936947.14 |  25
 Books                                              | romance                                            | namelessmaxi #3                                    |                |        |       |       |            |   3542614.45 |  68
 Books                                              | romance                                            | namelessmaxi #6                                    |                |        |       |       |            |   4776535.62 |  36
 Books                                              | romance                                            | namelessmaxi #8                                    |                |        |       |       |            |   3337409.01 |  74
 Books                                              | romance                                            | namelessmaxi #9                                    |                |        |       |       |            |   3150376.59 |  85
 Books                                              | romance                                            |                                                    |                |        |       |       |            |  26917899.52 |   4
 Books                                              | science                                            | maximaxi #2                                        |                |        |       |       |            |   4712998.61 |  39
 Books                                              | science                                            | maximaxi #3                                        |                |        |       |       |            |   3336650.16 |  75
 Books                                              | science                                            | maximaxi #6                                        |                |        |       |       |            |   4838167.21 |  34
 Books                                              | science                                            | maximaxi #8                                        |                |        |       |       |            |   3918299.34 |  54
 Books                                              | science                                            | maximaxi #9                                        |                |        |       |       |            |   3671269.63 |  59
 Books                                              | science                                            |                                                    |                |        |       |       |            |  25586397.02 |   7
 Books                                              | self-help                                          | exportiunivamalg #12                               |                |        |       |       |            |   3601256.45 |  65
 Books                                              | self-help                                          | exportiunivamalg #2                                |                |        |       |       |            |   4329159.99 |  46
 Books                                              | self-help                                          | exportiunivamalg #3                                |                |        |       |       |            |   3713907.69 |  58
 Books                                              | self-help                                          | exportiunivamalg #6                                |                |        |       |       |            |   4517730.83 |  43
 Books                                              | self-help                                          | exportiunivamalg #8                                |                |        |       |       |            |   3264465.41 |  83
 Books                                              | self-help                                          | exportiunivamalg #9                                |                |        |       |       |            |   3518492.78 |  71
 Books                                              | self-help                                          |                                                    |                |        |       |       |            |  25309833.55 |   8
 Books                                              | sports                                             | edu packunivamalg #12                              |                |        |       |       |            |   3620502.19 |  64
 Books                                              | sports                                             | edu packunivamalg #2                               |                |        |       |       |            |   4565549.32 |  42
 Books                                              | sports                                             | edu packunivamalg #3                               |                |        |       |       |            |   2754570.12 |  98
 Books                                              | sports                                             | edu packunivamalg #6                               |                |        |       |       |            |   6027111.67 |  19
 Books                                              | sports                                             | edu packunivamalg #8                               |                |        |       |       |            |   5042218.94 |  22
 Books                                              | sports                                             |                                                    |                |        |       |       |            |  26612823.68 |   5
 Books                                              | travel                                             | univunivamalg #12                                  |                |        |       |       |            |   3331154.46 |  77
 Books                                              | travel                                             | univunivamalg #2                                   |                |        |       |       |            |   4095217.76 |  50
 Books                                              | travel                                             | univunivamalg #6                                   |                |        |       |       |            |   4763216.12 |  38
 Books                                              | travel                                             | univunivamalg #8                                   |                |        |       |       |            |   4934645.38 |  27
 Books                                              | travel                                             | univunivamalg #9                                   |                |        |       |       |            |   3003991.76 |  91
 Books                                              | travel                                             |                                                    |                |        |       |       |            |  24793761.15 |  10
 Books                                              |                                                    |                                                    |                |        |       |       |            | 395541612.96 |   1
(100 rows)

Time: 54394,601 ms (00:54,395)
