Timing is on.
        substr        |            sm_type             |      cc_name      | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days 
 Conventional childr  | NEXT DAY                       | Hawaii/Alaska     |    1961 |       2027 |       2085 |           0 |         0
 Conventional childr  | NEXT DAY                       | Mid Atlantic      |    2125 |       2202 |       2101 |           0 |         0
 Conventional childr  | NEXT DAY                       | North Midwest     |    2046 |       2081 |       2073 |           0 |         0
 Conventional childr  | NEXT DAY                       | NY Metro          |    2039 |       2118 |       2125 |           0 |         0
 Conventional childr  | NEXT DAY                       | Pacific Northwest |    2115 |       2078 |       2094 |           0 |         0
 Conventional childr  | OVERNIGHT                      | California        |    1442 |       1592 |       1517 |           0 |         0
 Conventional childr  | OVERNIGHT                      | Hawaii/Alaska     |    1603 |       1617 |       1624 |           0 |         0
 Conventional childr  | OVERNIGHT                      | Mid Atlantic      |    1593 |       1541 |       1636 |           0 |         0
 Conventional childr  | OVERNIGHT                      | North Midwest     |    1456 |       1592 |       1597 |           0 |         0
 Conventional childr  | OVERNIGHT                      | NY Metro          |    1553 |       1580 |       1543 |           0 |         0
 Conventional childr  | OVERNIGHT                      | Pacific Northwest |    1489 |       1575 |       1575 |           0 |         0
 Conventional childr  | REGULAR                        | California        |    1527 |       1583 |       1572 |           0 |         0
 Conventional childr  | REGULAR                        | Hawaii/Alaska     |    1509 |       1591 |       1657 |           0 |         0
 Conventional childr  | REGULAR                        | Mid Atlantic      |    1607 |       1600 |       1567 |           0 |         0
 Conventional childr  | REGULAR                        | North Midwest     |    1512 |       1570 |       1543 |           0 |         0
 Conventional childr  | REGULAR                        | NY Metro          |    1492 |       1562 |       1552 |           0 |         0
 Conventional childr  | REGULAR                        | Pacific Northwest |    1603 |       1636 |       1602 |           0 |         0
 Conventional childr  | TWO DAY                        | California        |    1504 |       1572 |       1486 |           0 |         0
 Conventional childr  | TWO DAY                        | Hawaii/Alaska     |    1605 |       1593 |       1645 |           0 |         0
 Conventional childr  | TWO DAY                        | Mid Atlantic      |    1587 |       1549 |       1583 |           0 |         0
 Conventional childr  | TWO DAY                        | North Midwest     |    1590 |       1676 |       1597 |           0 |         0
 Conventional childr  | TWO DAY                        | NY Metro          |    1519 |       1580 |       1660 |           0 |         0
 Conventional childr  | TWO DAY                        | Pacific Northwest |    1521 |       1559 |       1637 |           0 |         0
 Doors canno          | EXPRESS                        | California        |    2054 |       2062 |       2161 |           0 |         0
 Doors canno          | EXPRESS                        | Hawaii/Alaska     |    2013 |       2124 |       2167 |           0 |         0
 Doors canno          | EXPRESS                        | Mid Atlantic      |    2014 |       2055 |       2126 |           0 |         0
 Doors canno          | EXPRESS                        | North Midwest     |    2098 |       2169 |       2099 |           0 |         0
 Doors canno          | EXPRESS                        | NY Metro          |    2051 |       2101 |       2131 |           0 |         0
 Doors canno          | EXPRESS                        | Pacific Northwest |    2065 |       2126 |       2159 |           0 |         0
 Doors canno          | LIBRARY                        | California        |    1525 |       1670 |       1556 |           0 |         0
 Doors canno          | LIBRARY                        | Hawaii/Alaska     |    1495 |       1626 |       1657 |           0 |         0
 Doors canno          | LIBRARY                        | Mid Atlantic      |    1591 |       1582 |       1617 |           0 |         0
 Doors canno          | LIBRARY                        | North Midwest     |    1504 |       1593 |       1551 |           0 |         0
 Doors canno          | LIBRARY                        | NY Metro          |    1550 |       1580 |       1637 |           0 |         0
 Doors canno          | LIBRARY                        | Pacific Northwest |    1558 |       1624 |       1516 |           0 |         0
 Doors canno          | NEXT DAY                       | California        |    2007 |       2097 |       2092 |           0 |         0
 Doors canno          | NEXT DAY                       | Hawaii/Alaska     |    2054 |       2098 |       2182 |           0 |         0
 Doors canno          | NEXT DAY                       | Mid Atlantic      |    1986 |       2207 |       2109 |           0 |         0
 Doors canno          | NEXT DAY                       | North Midwest     |    2080 |       2095 |       2084 |           0 |         0
 Doors canno          | NEXT DAY                       | NY Metro          |    2120 |       2170 |       2165 |           0 |         0
 Doors canno          | NEXT DAY                       | Pacific Northwest |    2043 |       2193 |       2155 |           0 |         0
 Doors canno          | OVERNIGHT                      | California        |    1503 |       1577 |       1536 |           0 |         0
 Doors canno          | OVERNIGHT                      | Hawaii/Alaska     |    1536 |       1658 |       1675 |           0 |         0
 Doors canno          | OVERNIGHT                      | Mid Atlantic      |    1527 |       1717 |       1644 |           0 |         0
 Doors canno          | OVERNIGHT                      | North Midwest     |    1486 |       1631 |       1583 |           0 |         0
 Doors canno          | OVERNIGHT                      | NY Metro          |    1502 |       1586 |       1571 |           0 |         0
 Doors canno          | OVERNIGHT                      | Pacific Northwest |    1501 |       1570 |       1643 |           0 |         0
 Doors canno          | REGULAR                        | California        |    1554 |       1659 |       1599 |           0 |         0
 Doors canno          | REGULAR                        | Hawaii/Alaska     |    1545 |       1721 |       1576 |           0 |         0
 Doors canno          | REGULAR                        | Mid Atlantic      |    1532 |       1565 |       1607 |           0 |         0
 Doors canno          | REGULAR                        | North Midwest     |    1505 |       1534 |       1550 |           0 |         0
(100 rows)

Time: 5270,326 ms (00:05,270)
