Timing is on.
  total_sum   |                     i_category                     |                      i_class                       | lochierarchy | rank_within_parent 
   4006011.94 | Home                                               | flatware                                           |            0 |                 10
   3888520.99 | Home                                               | lighting                                           |            0 |                 11
   3638120.85 | Home                                               | blinds/shades                                      |            0 |                 12
   3617121.02 | Home                                               | paint                                              |            0 |                 13
   3547843.81 | Home                                               | mattresses                                         |            0 |                 14
   3218860.80 | Home                                               | kids                                               |            0 |                 15
   3046704.24 | Home                                               | bathroom                                           |            0 |                 16
     98953.83 | Home                                               |                                                    |            0 |                 17
   4805756.66 | Jewelry                                            | pendants                                           |            0 |                  1
   4684999.87 | Jewelry                                            | custom                                             |            0 |                  2
   4627967.11 | Jewelry                                            | womens watch                                       |            0 |                  3
   4624340.62 | Jewelry                                            | semi-precious                                      |            0 |                  4
   4528736.35 | Jewelry                                            | consignment                                        |            0 |                  5
   4372157.46 | Jewelry                                            | bracelets                                          |            0 |                  6
   4318365.99 | Jewelry                                            | jewelry boxes                                      |            0 |                  7
   4304764.81 | Jewelry                                            | gold                                               |            0 |                  8
   4144660.02 | Jewelry                                            | rings                                              |            0 |                  9
   3954325.41 | Jewelry                                            | birdal                                             |            0 |                 10
   3949152.01 | Jewelry                                            | costume                                            |            0 |                 11
   3924778.43 | Jewelry                                            | mens watch                                         |            0 |                 12
   3843473.83 | Jewelry                                            | diamonds                                           |            0 |                 13
   3530749.20 | Jewelry                                            | estate                                             |            0 |                 14
   3273438.47 | Jewelry                                            | loose stones                                       |            0 |                 15
   3263768.05 | Jewelry                                            | earings                                            |            0 |                 16
  17462010.95 | Men                                                | shirts                                             |            0 |                  1
  16612364.65 | Men                                                | pants                                              |            0 |                  2
  16162965.88 | Men                                                | accessories                                        |            0 |                  3
  15413673.50 | Men                                                | sports-apparel                                     |            0 |                  4
     30407.01 | Men                                                |                                                    |            0 |                  5
  17565345.77 | Music                                              | pop                                                |            0 |                  1
  17169782.98 | Music                                              | rock                                               |            0 |                  2
  16544518.90 | Music                                              | country                                            |            0 |                  3
  15973219.58 | Music                                              | classical                                          |            0 |                  4
    197675.67 | Music                                              |                                                    |            0 |                  5
  17967350.93 | Shoes                                              | mens                                               |            0 |                  1
  17503362.16 | Shoes                                              | athletic                                           |            0 |                  2
  15907376.87 | Shoes                                              | womens                                             |            0 |                  3
  15538209.57 | Shoes                                              | kids                                               |            0 |                  4
     82559.54 | Shoes                                              |                                                    |            0 |                  5
   4889339.76 | Sports                                             | optics                                             |            0 |                  1
(100 rows)

Time: 1671,500 ms (00:01,672)
