Timing is on.
 s_store_name |                                                                                               i_item_desc                                                                                                | revenue | i_current_price | i_wholesale_cost |                      i_brand                       
 able         | Aims could not wait therefore in a transactions. Concerned colleagues give behind imaginative guidelines. Areas manage very                                                                              |    8.23 |            6.45 |             1.99 | corpbrand #4                                      
 able         | All                                                                                                                                                                                                      |    7.93 |           62.48 |             6.70 | amalgimporto #2                                   
 able         | All but huge buildings become then with a resources. Ideas see against the times.                                                                                                                        |   11.99 |            1.95 |             1.48 | importoexporti #2                                 
 able         | Alleged, medical sets could make; very parties can stress sharply ideas. Only, long words will justify well. Indeed british women find too then important po                                             |   16.27 |            3.85 |             1.88 | edu packbrand #10                                 
 able         | Allowances cannot call belatedly. Thick women afford recently similar, sudden pictures. Long, additional                                                                                                 |   17.83 |            1.69 |             1.03 | importomaxi #8                                    
 able         | All right open guests may not need considerably. Rules might not make just smooth p                                                                                                                      |   15.64 |            9.44 |             1.79 | namelessunivamalg #11                             
 able         | Almost new tourists used to fight sometimes. High, afraid minutes reconcile only complaints; posts might not wa                                                                                          |   15.25 |           92.60 |             3.89 | amalgamalg #2                                     
 able         | Almost other shares go. Soft, old items used to understand. Typically complete names stop here correct enemies.                                                                                          |   11.40 |            2.62 |             2.17 | importoedu pack #2                                
 able         | Alone alternative members use between a reasons. Good, other weapons shall ignore here. Recent books would go before today interested thin                                                               |    9.48 |            8.95 |             2.50 | edu packmaxi #12                                  
 able         | Alone, classical supporters must come closer on a projects. Current materials exceed very so standard banks. Industrial heads give personnel. Unnecessary, likely females shall put here. Natural, wild  |    9.58 |            4.92 |             1.47 | scholarmaxi #8                                    
 able         | Alone days must undertake children; pages will face cases. Days fit especially black standards. Certain, involved numbers may not intend high,                                                           |    8.87 |            2.82 |             8.19 | scholaramalgamalg #17                             
 able         | Alone small genes enjoy. Effective hospitals thank for a beds. Very civil troops must squeeze more by the prices. Repeatedly irish words may keep without the patients; long years share const           |   16.69 |            5.59 |             2.27 | importoamalg #1                                   
 able         | Already certain territories appear even for a failures. Soft, western women see yet by a homes; issues would set on a progra                                                                             |   13.50 |            3.58 |             1.32 | amalgcorp #6                                      
 able         | Already foreign fruits could not start. Otherwise difficult supporters could buy perhaps services. Firms may drift products. Customers may not accept cognitiv                                           |    6.17 |            5.08 |             3.04 | univunivamalg #6                                  
 able         | Already hot politicians feel apart new directions. Usual notes nee                                                                                                                                       |   10.74 |            3.24 |             1.19 | brandbrand #2                                     
 able         | Already necessary buildings will not                                                                                                                                                                     |    7.70 |            2.38 |             2.14 | importoamalg #2                                   
 able         | Already posi                                                                                                                                                                                             |   12.94 |            4.34 |             7.16 | importounivamalg #1                               
 able         | Already posi                                                                                                                                                                                             |   14.58 |            4.34 |             7.16 | importounivamalg #1                               
 able         | Also criminal players minimise front, large                                                                                                                                                              |    3.28 |            7.82 |             5.16 | edu packnameless #10                              
 able         | Also critical details detect just also final heads. Low, special members last now leg                                                                                                                    |    0.91 |            9.90 |             5.74 | exportiamalg #1                                   
 able         | Also critical details detect just also final heads. Low, special members last now leg                                                                                                                    |    0.65 |            9.90 |             5.74 | exportiamalg #1                                   
 able         | Also following roads may think perhaps among the motives. Democratic powers loose; students find surely very other rights. All close settlements must not wait just. Teeth may correct mostly left repor |   10.55 |            2.05 |             0.52 | edu packamalg #1                                  
 able         | Also following times can strengthen already weeks. About firm arrangements can thank also highly honest benefi                                                                                           |    0.63 |            1.65 |             1.28 | brandcorp #7                                      
 able         | Also great drawings would make purely small parts. Incentives beco                                                                                                                                       |   19.34 |            3.01 |             1.47 | edu packscholar #2                                
 able         | Also indian facilities satisfy often absolutely free things. Separate, blu                                                                                                                               |   10.67 |            9.28 |             7.42 | scholarbrand #4                                   
 able         | Also occasional discussions can cover real beans. Thoroughly economic operators give still. Sources could not assist impossible problems. Considerable, difficult hotels                                 |   12.34 |            1.81 |             0.61 | importoimporto #1                                 
 able         | Also particular days sense photographs. There obvious consequences should not meet suddenly also healthy effects. Long important interests c                                                             |    5.99 |            4.21 |             1.72 | importomaxi #2                                    
 able         | Also poor relations take equal, metropolitan courses. Peculiar, popular authorities lose                                                                                                                 |    4.46 |            0.85 |            57.47 | scholarcorp #4                                    
 able         | Alternative bills would not attend different, generous months. Even great profits contribute necessarily particular, classical windows. Magistrates know colours. Social, blue pr                        |    7.01 |            2.59 |             0.22 | scholarnameless #10                               
 able         | Always industrial systems should not believe of course hard fingers. Either overall drawings appear increa                                                                                               |    9.63 |            4.44 |             1.82 | amalgscholar #2                                   
 able         | Always interesting fields can use also funn                                                                                                                                                              |    7.30 |            2.42 |             1.28 | exportiedu pack #2                                
 able         | Always sure effects shall tell new sales. Alternative circumstances will bear other, bad arms. Years could see eno                                                                                       |    0.00 |           91.90 |            41.35 | edu packimporto #2                                
 able         | Always wrong scho                                                                                                                                                                                        |   11.21 |            1.97 |             0.05 | importoexporti #2                                 
 able         | Amazing, new hands shall give on a advantages. Councils make old, available rights. Sure, strong eyes may not run; irrelevant sets sit rather                                                            |    8.34 |            3.69 |             1.13 | importoscholar #1                                 
 able         | American consumers creep then respectable, social plants. Young groups assist generally as major areas. Good priorities wi                                                                               |   12.89 |            2.07 |             2.83 | edu packedu pack #1                               
 able         | American units put here despite the others. Local, short years would go somewhere for a eyes. European, simple countries could not negotiate even talks. Again mental areas can                          |    9.40 |            7.42 |             6.52 | exportinameless #2                                
 able         | Ancient to                                                                                                                                                                                               |    2.52 |            0.41 |             0.17 | exportiexporti #1                                 
 able         | Animal                                                                                                                                                                                                   |   10.21 |            4.62 |             1.39 | brandunivamalg #13                                
 able         | Annual, continued recommendations attend friends. Overseas seconds contemplate straight then social articles. Total, difficult limits give men. Now wonderful members take ultimately true, large ar     |    4.92 |            2.64 |             1.16 | edu packimporto #2                                
 able         | Anyway japanese applications may strike rationally jobs; national memories avoid projects. Most true windows pay partly cultural steps. For example practical units                                      |    1.63 |           39.26 |             0.91 | importoedu pack #1                                
 able         | Apparently absolute examples can satisfy different companies. Military, fu                                                                                                                               |    1.27 |            8.11 |             5.19 | edu packscholar #2                                
 able         | Apparently eligible centres provide in or                                                                                                                                                                |   16.56 |            4.44 |             0.38 | scholarunivamalg #9                               
 able         | Appeals can lose more as appropriate organisers. Relative, back buildings like notably. Tiny authorities boost more also elegant questi                                                                  |   12.23 |            1.56 |             0.95 | scholarmaxi #6                                    
 able         | Appearances want today tall, vulnerable boards. Spiritual lectures ought to increase once particular women. Great student                                                                                |   16.58 |            1.12 |             0.58 | importoexporti #2                                 
 able         | Appropriate classes evaluate still for a risks. Members will not generate hard benefits. Eyes keep now therefore british times. Factors seek differences. In                                             |   11.12 |            4.66 |             0.36 | amalgamalg #2                                     
 able         | Appropriate, huge elections should not submit in front of a children. Shoes should contain at a fal                                                                                                      |   15.92 |            1.66 |             0.76 | scholarnameless #10                               
 able         | Appropriate, magnificent police believe all small, small systems. About gradual patients shall not like both mixed gifts. Strong, european categories demonstrate early. Reve                            |    5.47 |            7.70 |             0.05 | amalgexporti #1                                   
 able         | Approx electrical events could not want exciting relations; years can seem afte                                                                                                                          |   14.38 |            8.60 |             6.43 | brandunivamalg #5                                 
 able         | Areas check again. Religious seeds should monitor really nuclear objectives; improvements believe total trouse                                                                                           |   16.51 |            1.65 |             1.36 | scholarmaxi #8                                    
 able         | Areas used to forget then lucky feet. Arms save strange, far memb                                                                                                                                        |    8.05 |            3.05 |            21.81 | corpunivamalg #6                                  
 able         | Arguments cannot become important organisations. New sales will talk relatively eastern, available systems. Shareholders press also. Just l                                                              |   17.80 |            6.05 |             3.01 | edu packamalg #1                                  
 able         | Armed colleges must not join old firms; appropriate, warm magistrates know by a companies. Secrets shall get years; acceptable, technical things put annually daily, familiar parents. Notable rooms m   |   18.44 |            9.81 |             1.80 | exportiedu pack #1                                
 able         | Arms fo                                                                                                                                                                                                  |    0.62 |            8.81 |             5.28 | importoimporto #2                                 
 able         | Arms mus                                                                                                                                                                                                 |   17.11 |            2.46 |             0.86 | namelessmaxi #12                                  
 able         | Arms would resolve. Invariably married gardens should not benefit correctly to a goals. Even wrong disciplines may produce now concerns; christians move. Here eastern times                             |   10.34 |            1.60 |             3.32 | brandbrand #7                                     
 able         | Arrangements used to file so. Free days lay more different, adjacent defences. Countries shall not ask cheap, eager standards. Toxic worlds vary general toys. Windows mention i                         |    9.00 |            0.84 |             4.62 | amalgedu pack #2                                  
 able         | Artificially small eyes get officially clubs. Perfect times used to try nowhere from a properties. Only, particular designers could not go dreams. Across liberal children would leave so for a citi     |    1.33 |            3.36 |             5.45 | exportiamalgamalg #1                              
 able         | As a whole full months should initiate as good as knowingly immense reasons. Views say eyes; keen, equivalent houses let clearly. Ne                                                                     |    9.79 |            2.63 |             0.40 | edu packunivamalg #12                             
(100 rows)

Time: 11987,342 ms (00:11,987)
