Timing is on.
 item_sk |   d_date   | web_sales | store_sales | web_cumulative | store_cumulative 
      35 | 2001-06-27 |           |       98.27 |         219.82 |            98.27
      35 | 2001-08-22 |    494.55 |      471.76 |         494.55 |           471.76
      35 | 2001-08-25 |           |      471.76 |         494.55 |           471.76
      35 | 2001-09-05 |           |      485.98 |         494.55 |           485.98
      43 | 2001-05-27 |    181.79 |      151.04 |         181.79 |           151.04
      43 | 2001-05-30 |    279.87 |             |         279.87 |           151.04
      43 | 2001-06-03 |    312.45 |      170.52 |         312.45 |           170.52
      43 | 2001-06-04 |           |      198.66 |         312.45 |           198.66
      43 | 2001-06-14 |           |      200.09 |         312.45 |           200.09
      43 | 2001-06-18 |           |      258.53 |         312.45 |           258.53
      43 | 2001-06-22 |           |      270.78 |         312.45 |           270.78
      43 | 2001-06-24 |           |      273.70 |         312.45 |           273.70
      45 | 2001-05-22 |           |        5.74 |         304.49 |             5.74
      45 | 2001-06-01 |           |       92.13 |         304.49 |            92.13
      45 | 2001-06-02 |           |      105.00 |         304.49 |           105.00
      45 | 2001-06-12 |           |      128.02 |         304.49 |           128.02
      45 | 2001-06-13 |           |      129.70 |         304.49 |           129.70
      45 | 2001-06-29 |    357.91 |             |         357.91 |           129.70
      45 | 2001-07-09 |           |      176.10 |         357.91 |           176.10
      45 | 2001-07-11 |    425.03 |             |         425.03 |           176.10
      45 | 2001-07-15 |           |      235.95 |         425.03 |           235.95
      45 | 2001-07-16 |           |      361.60 |         425.03 |           361.60
      45 | 2001-07-30 |    463.83 |      435.03 |         463.83 |           435.03
      45 | 2001-08-24 |    784.73 |             |         784.73 |           751.67
      48 | 2002-01-03 |    138.68 |             |         138.68 |            51.23
      48 | 2002-01-06 |           |       74.97 |         138.68 |            74.97
      48 | 2002-01-11 |           |      134.94 |         138.68 |           134.94
      53 | 2001-05-07 |           |       25.67 |          56.32 |            25.67
      54 | 2002-01-17 |    228.03 |             |         228.03 |           111.38
      54 | 2002-01-22 |           |      121.11 |         228.03 |           121.11
      54 | 2002-01-25 |           |      125.58 |         228.03 |           125.58
      54 | 2002-02-12 |           |      126.01 |         228.03 |           126.01
      54 | 2002-03-08 |    231.61 |             |         231.61 |           126.01
      54 | 2002-03-13 |           |      156.57 |         231.61 |           156.57
      55 | 2001-05-06 |           |        1.54 |          48.22 |             1.54
      55 | 2001-05-09 |    126.74 |             |         126.74 |             1.54
      55 | 2001-05-15 |           |       51.98 |         126.74 |            51.98
      55 | 2001-05-16 |           |       93.42 |         126.74 |            93.42
      55 | 2001-05-17 |           |       94.56 |         126.74 |            94.56
      55 | 2001-05-30 |           |      118.03 |         126.74 |           118.03
      59 | 2001-05-14 |     29.72 |             |          29.72 |            28.35
      59 | 2001-06-15 |    118.35 |             |         118.35 |            72.06
      59 | 2001-06-17 |           |       91.07 |         118.35 |            91.07
      60 | 2002-01-02 |     63.82 |             |          63.82 |            47.29
      61 | 2001-05-07 |     56.06 |             |          56.06 |            44.08
      61 | 2001-05-11 |           |       46.22 |          56.06 |            46.22
      61 | 2001-05-17 |    102.58 |             |         102.58 |            46.22
      61 | 2001-05-20 |           |       72.68 |         102.58 |            72.68
      61 | 2001-05-31 |           |       76.28 |         102.58 |            76.28
      61 | 2001-06-07 |           |       96.92 |         102.58 |            96.92
      61 | 2001-06-25 |    218.59 |             |         218.59 |           206.35
      67 | 2001-05-07 |           |        3.02 |          80.37 |             3.02
      67 | 2001-05-24 |           |        9.86 |          80.37 |             9.86
      67 | 2001-05-29 |    123.15 |             |         123.15 |             9.86
      67 | 2001-06-09 |    223.40 |             |         223.40 |             9.86
      67 | 2001-06-21 |    244.77 |             |         244.77 |             9.86
      67 | 2001-06-22 |           |       14.51 |         244.77 |            14.51
      67 | 2001-06-26 |           |      101.57 |         244.77 |           101.57
      67 | 2001-07-01 |           |      105.48 |         244.77 |           105.48
      67 | 2001-07-07 |           |      121.43 |         244.77 |           121.43
      67 | 2001-07-08 |    293.82 |             |         293.82 |           121.43
      67 | 2001-07-10 |           |      172.92 |         293.82 |           172.92
      67 | 2001-07-16 |           |      236.68 |         293.82 |           236.68
      67 | 2001-07-23 |           |      268.93 |         293.82 |           268.93
      67 | 2001-07-24 |           |      271.61 |         293.82 |           271.61
(100 rows)

Time: 16838,602 ms (00:16,839)
