Timing is on.
 ss_item_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price 
       2252 |  1.00 |        94 |                80.18 |            104.55 |             57 |                      1.46 |                   3.32
       2282 |  0.00 |        66 |                97.88 |             70.00 |             74 |                     34.06 |                  93.83
       2294 |  2.00 |        62 |                35.62 |             63.40 |             27 |                     71.13 |                  72.72
       2357 |  0.00 |         5 |                25.73 |             19.30 |             56 |                     84.36 |                  11.64
       2411 |  2.00 |        97 |                88.81 |             80.38 |             45 |                     78.15 |                  66.74
       2414 |  0.00 |        50 |                86.89 |             50.48 |             80 |                     35.26 |                  49.87
       2423 |  0.00 |        19 |                34.78 |             45.81 |             67 |                     49.74 |                  15.87
       2441 |  0.00 |        48 |                 1.90 |              0.22 |             72 |                     81.67 |                  55.19
       2509 |  1.00 |         8 |                 4.66 |              0.66 |              7 |                     80.55 |                 124.83
       2612 |  1.00 |        48 |                44.14 |             18.94 |             36 |                     22.41 |                  46.34
       2699 |  1.00 |        85 |                 2.25 |              0.63 |             44 |                     88.00 |                 188.37
       2708 |  0.00 |        18 |                99.90 |             37.36 |             83 |                     16.96 |                   2.38
       2779 |  4.00 |        42 |                93.94 |            136.77 |              9 |                     30.56 |                   5.72
       2803 |  0.00 |        33 |                55.20 |             78.35 |             65 |                      3.64 |                   6.35
       2879 |  0.00 |        29 |                58.92 |             67.88 |             54 |                     47.97 |                  71.24
       2900 |  0.00 |        45 |                      |                   |             61 |                     82.99 |                  89.32
       2965 |  1.00 |        49 |                78.37 |            110.96 |             26 |                     39.44 |                  20.44
       2993 |  0.00 |        27 |                50.54 |             70.95 |             48 |                     33.95 |                  39.47
       3077 |  1.00 |        80 |                64.28 |             77.09 |             60 |                     46.58 |                  18.33
       3209 |  0.00 |        82 |                95.75 |            105.87 |             90 |                     53.57 |                  36.22
       3227 |  4.00 |        70 |                49.60 |             81.65 |             15 |                     87.93 |                 158.31
       3229 |  2.00 |        73 |                96.11 |            147.04 |             29 |                     96.82 |                  42.30
       3293 |  4.00 |        85 |                93.85 |             90.35 |             21 |                     24.06 |                  40.41
       3440 |  0.00 |        23 |                79.29 |             79.66 |             79 |                     99.92 |                  16.60
       3584 |  1.00 |        81 |                58.51 |             83.05 |             67 |                     57.30 |                  13.23
       3650 | 13.00 |        39 |                69.76 |            119.76 |              3 |                     21.21 |                  62.14
       3662 |  1.00 |        58 |                22.20 |              5.36 |             50 |                     15.35 |                   4.20
       3877 |  6.00 |        41 |                 5.59 |              6.19 |              6 |                     39.36 |                  63.39
       3878 |  0.00 |        16 |                 9.96 |              7.37 |             32 |                     62.89 |                  27.79
       4001 |  0.00 |        59 |                89.29 |             64.07 |             96 |                     76.33 |                  24.23
       4063 |  0.00 |         9 |                 7.88 |              7.93 |             39 |                     45.61 |                  22.84
       4229 |  0.00 |        10 |                24.11 |             18.52 |             16 |                      1.76 |                   3.79
       4250 |  1.00 |        75 |                61.40 |             40.94 |             74 |                     73.58 |                  68.20
       4280 |  0.00 |        64 |                14.04 |              8.71 |             66 |                      1.17 |                   1.83
       4316 |  7.00 |        87 |                23.61 |             20.18 |             12 |                     23.21 |                  50.89
       4331 |  3.00 |        85 |                96.65 |             82.29 |             27 |                     95.70 |                 176.18
       4343 |  0.00 |        22 |                27.31 |              7.45 |             80 |                     58.73 |                  25.48
       4393 |  1.00 |        60 |                14.71 |             10.80 |             56 |                     53.99 |                  53.74
       4423 |  2.00 |        49 |                34.40 |              6.43 |             23 |                     95.53 |                 122.10
       4423 |  0.00 |         4 |                88.75 |             44.22 |             82 |                     65.85 |                  29.26
       4430 |  0.00 |        28 |                10.61 |             10.00 |             50 |                     52.02 |                  55.31
       4460 |  1.00 |        98 |                50.20 |             78.89 |             80 |                     61.17 |                  91.01
       4487 |       |           |                31.18 |             14.26 |             61 |                     29.33 |                  44.72
       4519 |  2.00 |        47 |                18.45 |              6.25 |             23 |                     67.23 |                 103.50
       4519 |  0.00 |         8 |                86.08 |             85.98 |             49 |                     77.37 |                  34.67
       4616 |  0.00 |        53 |                83.88 |             31.87 |             99 |                     10.81 |                   4.69
       4712 |  1.00 |        64 |                29.88 |             24.54 |             53 |                     62.79 |                  49.25
       4789 |  0.00 |        26 |                81.57 |             16.15 |             52 |                     32.80 |                   7.55
       4829 |  3.00 |        77 |                 4.55 |              3.34 |             23 |                     10.19 |                  20.02
       4871 |  2.00 |        80 |                70.20 |             33.86 |             31 |                     73.16 |                 120.93
       4889 |  0.00 |        65 |                82.45 |              9.89 |             90 |                     94.12 |                 116.38
       5066 |  0.00 |        78 |                 3.72 |              5.03 |             95 |                     20.36 |                  25.18
       5072 |  0.00 |         2 |                13.72 |             26.07 |              4 |                     60.22 |                  84.45
       5219 |       |           |                      |              4.65 |             88 |                     67.17 |                  57.26
       5270 |  3.00 |        73 |                95.84 |             62.39 |             21 |                     14.17 |                   7.75
       5305 |  3.00 |        58 |                82.53 |            131.18 |             19 |                     26.72 |                  17.16
       5318 |  1.00 |        97 |                72.48 |             87.82 |             81 |                     60.78 |                  42.21
       5336 |  0.00 |        59 |                29.84 |             20.02 |             97 |                     12.86 |                   2.83
       5387 |  2.00 |        86 |                19.54 |             33.76 |             39 |                      8.13 |                   8.81
       5501 |  3.00 |        82 |                59.39 |             35.48 |             21 |                     14.12 |                  20.73
       5525 |  0.00 |        65 |                28.55 |             47.10 |             86 |                     83.29 |                  85.92
       5525 |  0.00 |        30 |                97.18 |            100.75 |             35 |                     33.80 |                  20.93
       5545 |  0.00 |        30 |                66.13 |              7.27 |             61 |                     68.02 |                  20.38
       5587 |  0.00 |        12 |                 6.71 |              4.90 |             47 |                     96.54 |                 162.79
       5665 |  5.00 |        69 |                72.29 |             53.13 |             13 |                     17.26 |                  19.41
       5702 |  0.00 |        11 |                82.60 |             23.19 |             50 |                     49.09 |                  64.84
       5845 |  0.00 |         8 |                96.22 |            135.08 |             10 |                     71.24 |                  60.50
(100 rows)

Time: 113156,438 ms (01:53,156)
