Timing is on.
                   i_product_name                   |                      i_brand                       |                      i_class                       |                     i_category                     |         qoh          
 callyprieingeing                                   | importoscholar #1                                  | country                                            | Music                                              | 442.9673469387755102
 callyprieingeing                                   | importoscholar #1                                  | country                                            |                                                    | 442.9673469387755102
 callyprieingeing                                   | importoscholar #1                                  |                                                    |                                                    | 442.9673469387755102
 callyprieingeing                                   |                                                    |                                                    |                                                    | 442.9673469387755102
 callyeseationable                                  | amalgscholar #1                                    | rock                                               | Music                                              | 443.7254098360655738
 callyeseationable                                  | amalgscholar #1                                    | rock                                               |                                                    | 443.7254098360655738
 callyeseationable                                  | amalgscholar #1                                    |                                                    |                                                    | 443.7254098360655738
 callyeseationable                                  |                                                    |                                                    |                                                    | 443.7254098360655738
 ableationationantiable                             | edu packscholar #1                                 | classical                                          | Music                                              | 443.9387755102040816
 ableationationantiable                             | edu packscholar #1                                 | classical                                          |                                                    | 443.9387755102040816
 ableationationantiable                             | edu packscholar #1                                 |                                                    |                                                    | 443.9387755102040816
 ableationationantiable                             |                                                    |                                                    |                                                    | 443.9387755102040816
 ableationeinganti                                  | edu packexporti #1                                 | school-uniforms                                    | Children                                           | 444.0859375000000000
 ableationeinganti                                  | edu packexporti #1                                 | school-uniforms                                    |                                                    | 444.0859375000000000
 ableationeinganti                                  | edu packexporti #1                                 |                                                    |                                                    | 444.0859375000000000
 ableationeinganti                                  |                                                    |                                                    |                                                    | 444.0859375000000000
 eingbarcallyeseable                                | importobrand #9                                    | bedding                                            | Home                                               | 444.3008130081300813
 eingbarcallyeseable                                | importobrand #9                                    | bedding                                            |                                                    | 444.3008130081300813
 eingbarcallyeseable                                | importobrand #9                                    |                                                    |                                                    | 444.3008130081300813
 eingbarcallyeseable                                |                                                    |                                                    |                                                    | 444.3008130081300813
 esen steseationought                               | edu packedu pack #1                                | athletic                                           | Shoes                                              | 444.3548387096774194
 esen steseationought                               | edu packedu pack #1                                | athletic                                           |                                                    | 444.3548387096774194
 esen steseationought                               | edu packedu pack #1                                |                                                    |                                                    | 444.3548387096774194
 esen steseationought                               |                                                    |                                                    |                                                    | 444.3548387096774194
 eingpricallyableought                              | amalgexporti #1                                    | newborn                                            | Children                                           | 444.5200000000000000
 eingpricallyableought                              | amalgexporti #1                                    | newborn                                            |                                                    | 444.5200000000000000
 eingpricallyableought                              | amalgexporti #1                                    |                                                    |                                                    | 444.5200000000000000
 eingpricallyableought                              |                                                    |                                                    |                                                    | 444.5200000000000000
 eseationpriationought                              | amalgedu pack #1                                   | womens                                             | Shoes                                              | 444.5263157894736842
 eseationpriationought                              | amalgedu pack #1                                   | womens                                             |                                                    | 444.5263157894736842
 eseationpriationought                              | amalgedu pack #1                                   |                                                    |                                                    | 444.5263157894736842
 eseationpriationought                              |                                                    |                                                    |                                                    | 444.5263157894736842
 callyn stantieing                                  | importoimporto #1                                  | shirts                                             | Men                                                | 445.1666666666666667
 callyn stantieing                                  | importoimporto #1                                  | shirts                                             |                                                    | 445.1666666666666667
 callyn stantieing                                  | importoimporto #1                                  |                                                    |                                                    | 445.1666666666666667
 callyn stantieing                                  |                                                    |                                                    |                                                    | 445.1666666666666667
 ationantiableeseought                              | amalgscholar #2                                    | rock                                               | Music                                              | 445.5880000000000000
 ationantiableeseought                              | amalgscholar #2                                    | rock                                               |                                                    | 445.5880000000000000
 ationantiableeseought                              | amalgscholar #2                                    |                                                    |                                                    | 445.5880000000000000
 ationantiableeseought                              |                                                    |                                                    |                                                    | 445.5880000000000000
 barcallyn station                                  | edu packimporto #1                                 | sports-apparel                                     | Men                                                | 445.8979591836734694
 barcallyn station                                  | edu packimporto #1                                 | sports-apparel                                     |                                                    | 445.8979591836734694
 barcallyn station                                  | edu packimporto #1                                 |                                                    |                                                    | 445.8979591836734694
 barcallyn station                                  |                                                    |                                                    |                                                    | 445.8979591836734694
 callyationpripriought                              | exportiamalg #1                                    | maternity                                          | Women                                              | 445.9105691056910569
 callyationpripriought                              | exportiamalg #1                                    | maternity                                          |                                                    | 445.9105691056910569
 callyationpripriought                              | exportiamalg #1                                    |                                                    |                                                    | 445.9105691056910569
 callyationpripriought                              |                                                    |                                                    |                                                    | 445.9105691056910569
 eingcallyoughtationought                           | importoimporto #1                                  | shirts                                             | Men                                                | 446.0080645161290323
 eingcallyoughtationought                           | importoimporto #1                                  | shirts                                             |                                                    | 446.0080645161290323
 eingcallyoughtationought                           | importoimporto #1                                  |                                                    |                                                    | 446.0080645161290323
 eingcallyoughtationought                           |                                                    |                                                    |                                                    | 446.0080645161290323
 eingeingprically                                   | brandbrand #9                                      | decor                                              | Home                                               | 447.3086419753086420
 eingeingprically                                   | brandbrand #9                                      | decor                                              |                                                    | 447.3086419753086420
 eingeingprically                                   | brandbrand #9                                      |                                                    |                                                    | 447.3086419753086420
 eingeingprically                                   |                                                    |                                                    |                                                    | 447.3086419753086420
(100 rows)

Time: 33986,162 ms (00:33,986)
