Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | s_store_name | s_company_name | d_moy | sum_sales |   avg_monthly_sales   
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     3 |   4375.02 | 8366.7083333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     5 |   4869.76 | 8834.6333333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     6 |   5863.13 | 9818.0225000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     1 |   5827.91 | 9772.0816666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     7 |   5884.16 | 9818.0225000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     6 |   5409.52 | 9291.8016666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     7 |   5622.94 | 9475.6233333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     6 |   5595.17 | 9434.4300000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     6 |   5649.05 | 9475.6233333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     7 |   5612.81 | 9434.4300000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     6 |   5419.00 | 9237.8166666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     2 |   5829.54 | 9616.3816666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     7 |   5049.92 | 8834.6333333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     3 |   5736.66 | 9475.6233333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     7 |   4635.77 | 8366.7083333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     5 |   5579.59 | 9237.8166666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     3 |   4209.46 | 7855.6950000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     5 |   4756.88 | 8366.7083333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     2 |   5712.99 | 9291.8016666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     7 |   5714.11 | 9237.8166666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     6 |   4855.97 | 8366.7083333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     7 |   6106.04 | 9616.3816666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     6 |   6474.41 | 9943.0683333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     6 |   6304.19 | 9772.0816666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     1 |   6034.08 | 9475.6233333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     7 |   4469.98 | 7897.0500000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     5 |   4518.62 | 7897.0500000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     1 |   6126.87 | 9434.4300000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     3 |   5546.78 | 8834.6333333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     5 |   6371.10 | 9616.3816666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     3 |   6427.77 | 9616.3816666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     1 |   6769.72 | 9943.0683333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     6 |   4725.69 | 7897.0500000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     4 |   6114.18 | 9237.8166666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     5 |   6361.18 | 9434.4300000000000000
 Music                                              | rock                                               | amalgscholar #2                                    | ese          | Unknown        |     2 |   1710.86 | 4748.9658333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     1 |   6578.70 | 9616.3816666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     2 |   4921.44 | 7897.0500000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     4 |   5404.11 | 8366.7083333333333333
 Women                                              | maternity                                          | exportiamalg #2                                    | bar          | Unknown        |     7 |   1552.83 | 4512.6158333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     3 |   4972.25 | 7897.0500000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     1 |   6918.37 | 9818.0225000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     4 |   5021.86 | 7897.0500000000000000
 Women                                              | maternity                                          | exportiamalg #1                                    | able         | Unknown        |     1 |   5022.60 | 7897.0500000000000000
 Men                                                | accessories                                        | amalgimporto #2                                    | bar          | Unknown        |     2 |   1675.03 | 4472.6008333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     7 |   5119.70 | 7855.6950000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | ought        | Unknown        |     6 |   2459.15 | 5120.8716666666666667
 Shoes                                              | athletic                                           | edu packedu pack #2                                | ese          | Unknown        |     3 |   1806.85 | 4455.4225000000000000
 Shoes                                              | athletic                                           | edu packedu pack #2                                | able         | Unknown        |     6 |   2010.42 | 4655.9475000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     3 |   6602.17 | 9237.8166666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | n st         | Unknown        |     4 |   2357.35 | 4977.5991666666666667
 Women                                              | maternity                                          | exportiamalg #2                                    | bar          | Unknown        |     2 |   1905.72 | 4512.6158333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | pri          | Unknown        |     5 |   2098.82 | 4705.0425000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | n st         | Unknown        |     2 |   1787.74 | 4389.7658333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | cally        | Unknown        |     2 |   2155.59 | 4756.9233333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     1 |   6640.16 | 9237.8166666666666667
 Women                                              | maternity                                          | exportiamalg #2                                    | able         | Unknown        |     7 |   1747.56 | 4329.6708333333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     2 |   5281.19 | 7855.6950000000000000
 Men                                                | accessories                                        | amalgimporto #2                                    | ese          | Unknown        |     4 |   1916.72 | 4488.8208333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | cally        | Unknown        |     7 |   2163.49 | 4727.6075000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | n st         | Unknown        |     6 |   2115.38 | 4657.0225000000000000
 Men                                                | accessories                                        | amalgimporto #2                                    | ese          | Unknown        |     2 |   1947.89 | 4488.8208333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | cally        | Unknown        |     4 |   2089.58 | 4610.7133333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | cally        | Unknown        |     6 |   2244.46 | 4756.9233333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | pri          | Unknown        |     6 |   2111.49 | 4592.6450000000000000
 Music                                              | rock                                               | amalgscholar #2                                    | ese          | Unknown        |     3 |   2275.67 | 4748.9658333333333333
 Shoes                                              | athletic                                           | edu packedu pack #2                                | able         | Unknown        |     3 |   2188.03 | 4655.9475000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | cally        | Unknown        |     7 |   2296.61 | 4756.9233333333333333
(100 rows)

Time: 2166,612 ms (00:02,167)
