Timing is on.
      gross_margin       |                     i_category                     |                      i_class                       | lochierarchy | rank_within_parent 
 -0.40691924112602994802 | Electronics                                        | monitors                                           |            0 |                 15
 -0.40249470319835660764 | Electronics                                        | personal                                           |            0 |                 16
 -0.46347526150084125500 | Home                                               | bathroom                                           |            0 |                  1
 -0.45302065439108967368 | Home                                               | flatware                                           |            0 |                  2
 -0.45115696761666159637 | Home                                               | curtains/drapes                                    |            0 |                  3
 -0.45058099793003752878 | Home                                               | wallpaper                                          |            0 |                  4
 -0.44863529996355272356 | Home                                               | furniture                                          |            0 |                  5
 -0.44656563684224018737 | Home                                               | kids                                               |            0 |                  6
 -0.44528650199822923848 | Home                                               | mattresses                                         |            0 |                  7
 -0.43741714824135371273 | Home                                               | decor                                              |            0 |                  8
 -0.42904030798849311487 | Home                                               | lighting                                           |            0 |                  9
 -0.42855016031677300953 | Home                                               | tables                                             |            0 |                 10
 -0.41455893121980209116 | Home                                               | paint                                              |            0 |                 11
 -0.41399717322810526012 | Home                                               | blinds/shades                                      |            0 |                 12
 -0.41211527024570049055 | Home                                               | bedding                                            |            0 |                 13
 -0.40617836494854736022 | Home                                               | accent                                             |            0 |                 14
 -0.40272786251171200757 | Home                                               |                                                    |            0 |                 15
 -0.40093735904833083768 | Home                                               | rugs                                               |            0 |                 16
 -0.40013829296700680230 | Home                                               | glassware                                          |            0 |                 17
 -0.45920991261606593469 | Jewelry                                            | mens watch                                         |            0 |                  1
 -0.45512345451215164574 | Jewelry                                            | costume                                            |            0 |                  2
 -0.44603145306351744339 | Jewelry                                            | custom                                             |            0 |                  3
 -0.44034345486717421084 | Jewelry                                            | estate                                             |            0 |                  4
 -0.43948779105885983899 | Jewelry                                            | semi-precious                                      |            0 |                  5
 -0.43879420188117336695 | Jewelry                                            | jewelry boxes                                      |            0 |                  6
 -0.43671521225856093336 | Jewelry                                            | bracelets                                          |            0 |                  7
 -0.43650743350993075538 | Jewelry                                            | rings                                              |            0 |                  8
 -0.43453759504184045603 | Jewelry                                            | womens watch                                       |            0 |                  9
 -0.43252839036611710730 | Jewelry                                            | consignment                                        |            0 |                 10
 -0.43018547697642054605 | Jewelry                                            | pendants                                           |            0 |                 11
 -0.42640215434413120857 | Jewelry                                            | loose stones                                       |            0 |                 12
 -0.42176602103641246547 | Jewelry                                            | diamonds                                           |            0 |                 13
 -0.41948735595921766214 | Jewelry                                            | gold                                               |            0 |                 14
 -0.41851075261723622252 | Jewelry                                            | earings                                            |            0 |                 15
 -0.41749778075596914017 | Jewelry                                            | birdal                                             |            0 |                 16
 -0.45154183527443919528 | Men                                                | pants                                              |            0 |                  1
 -0.43136056890221919740 | Men                                                | sports-apparel                                     |            0 |                  2
 -0.43030935176183499552 | Men                                                | accessories                                        |            0 |                  3
 -0.42517383682966281339 | Men                                                | shirts                                             |            0 |                  4
 -0.42291582670390743045 | Men                                                |                                                    |            0 |                  5
 -0.45189869382038723514 | Music                                              | pop                                                |            0 |                  1
 -0.45116479362691501027 | Music                                              |                                                    |            0 |                  2
 -0.43980233890328022021 | Music                                              | country                                            |            0 |                  3
 -0.43421312421636212890 | Music                                              | rock                                               |            0 |                  4
 -0.42040193070791745649 | Music                                              | classical                                          |            0 |                  5
 -0.75629743951973360998 | Shoes                                              |                                                    |            0 |                  1
 -0.44950602804260164137 | Shoes                                              | athletic                                           |            0 |                  2
 -0.44149099744899807621 | Shoes                                              | mens                                               |            0 |                  3
 -0.43730560622963976768 | Shoes                                              | kids                                               |            0 |                  4
 -0.42659243767222978751 | Shoes                                              | womens                                             |            0 |                  5
 -0.45603920624383111187 | Sports                                             | outdoor                                            |            0 |                  1
 -0.45314574633752717149 | Sports                                             | guns                                               |            0 |                  2
 -0.44970501732606010821 | Sports                                             | fitness                                            |            0 |                  3
(100 rows)

Time: 3144,348 ms (00:03,144)
