Timing is on.
 s_store_name |                                                                                               i_item_desc                                                                                               | revenue | i_current_price | i_wholesale_cost |                      i_brand                       
 able         | Difficult, public games know slightly right proceedings. Days may say attractiv                                                                                                                         |   11.55 |            2.94 |             2.14 | importoedu pack #2                                
 able         | Disabled governors may not lift. Since disciplinary buildings serve carefully rapid papers. High, pol                                                                                                   |   25.78 |            2.39 |             1.21 | edu packexporti #2                                
 able         | Distant, single reports would start heavy, white ideas. Long amounts love knowingly usefully main pictures. Demanding                                                                                   |   22.12 |            4.88 |             4.36 | importoscholar #1                                 
 able         | Domestic, reasonable activities lose closer; here super problems can mak                                                                                                                                |    9.08 |            5.95 |             5.35 | exportiamalg #2                                   
 able         | Downstairs nation                                                                                                                                                                                       |   17.94 |           63.37 |            25.34 | univunivamalg #1                                  
 able         | Dreadful, actual relations bar conditions. Usual, net lives must want chief, foreign hands. Units must see pure, vast victims. Main, specific children aid                                              |    4.07 |            2.45 |             2.48 | exportiimporto #2                                 
 able         | Due contexts should press quickly on the negotia                                                                                                                                                        |    1.83 |            3.62 |             1.12 | edu packunivamalg #12                             
 able         | Eager flames would end easy religious, weak games. Similar meals make once successful, medical facts. Ranks rise well similar, popular powers                                                           |   12.06 |            5.88 |             4.93 | exportiexporti #2                                 
 able         | Early major pieces cannot take also again surpris                                                                                                                                                       |   23.11 |            5.20 |             1.50 | edu packscholar #1                                
 able         | Efforts for                                                                                                                                                                                             |    6.66 |            2.61 |             0.63 | importoamalg #2                                   
 able         | Elements ensure in a missiles. Less than pretty rivers pay too complex, senior patter                                                                                                                   |    5.73 |            1.98 |             0.69 | amalgamalg #2                                     
 able         | Else irrelevant unions could create there friends. Main, public genes may find about a premises. Eye                                                                                                    |    3.44 |            2.71 |             1.89 | edu packedu pack #1                               
 able         | Else irrelevant unions could create there friends. Main, public genes may find about a premises. Eye                                                                                                    |    6.67 |            7.31 |             3.50 | edu packscholar #2                                
 able         | Elsewhere certain protests should work together still strange cou                                                                                                                                       |    6.88 |            8.48 |             6.69 | importounivamalg #6                               
 able         | English champions blame to a jobs. Skills might throw fully historians. Soft countries could not afford else on the subjects; available books will not                                                  |   15.05 |            2.54 |             2.10 | edu packamalg #2                                  
 able         | Enormous, english children remember recent, old payments. Records would go p                                                                                                                            |   26.63 |            6.49 |             5.19 | amalgamalg #2                                     
 able         | En route successful colours cannot speak. At least industrial stocks recognize of course. Nervously coming systems                                                                                      |   20.17 |            3.83 |             0.44 | exportiexporti #2                                 
 able         | Essential, keen groups ought to replace long eyes; desperate years would not help worth a ste                                                                                                           |    3.84 |            2.53 |             2.92 | importoexporti #2                                 
 able         | European meetings serve most still emotional days. General, royal grounds may not assist profoundly economic references. Possible, double yards see clearly. Positions enlarge completely biological sk |    0.38 |            4.76 |             2.76 | exportischolar #2                                 
 able         | European, western players get co                                                                                                                                                                        |   12.60 |            2.76 |             2.23 | univbrand #7                                      
 able         | Even psychiatric members could not make previously real important students. Always new banks cannot drag already families. However political years pick too patient wages. More tha                     |   20.52 |           52.48 |             2.90 | importoexporti #2                                 
 able         | Ever personal pounds shall stand white members. Following, domestic difficulties might conform merely levels. Other, international positions might race often other minds. Lucky children may afford i  |   17.98 |            6.33 |             5.69 | corpamalgamalg #1                                 
 able         | Excellent, political lovers reflect both. Also good tories could                                                                                                                                        |   27.25 |            1.55 |             0.29 | importoexporti #1                                 
 able         | Excessive, common details might not fulfil live with the contents. Fields used to show generally with a years. Therefore prope                                                                          |    1.53 |            0.66 |             0.54 | scholarunivamalg #12                              
 able         | Experiments may find there political groups. Groups take on a structures. Ministers stop gentl                                                                                                          |    3.20 |            0.25 |             0.46 | amalgedu pack #2                                  
 able         | Extended, central centuries ought to predict thus early controls; so financial years shall not see                                                                                                      |   20.62 |            1.36 |             0.88 | edu packimporto #2                                
 able         | Extra, eager needs should leave positive, new knees. Senior, acute things appoint too very personal channels. Benefit                                                                                   |   10.47 |            4.97 |             2.43 | edu packmaxi #1                                   
 able         | Extreme, detailed fortunes carry other, different colleges.                                                                                                                                             |   20.28 |            3.85 |             1.34 | edu packimporto #1                                
 able         | Eyes develop most great projects. Very small children could oppose also for the farmers; never blind members fetch members. English policemen can cause in a facilities. Available, huge sugge          |   15.69 |            0.37 |             0.71 | edu packscholar #2                                
 able         | Eyes include very local, active men. No longer united ingredients ought to explain as inc areas. Of course single results will indicate in the houses. Ingredients can take equally sternly sure sta    |   20.89 |            3.73 |             3.34 | namelessnameless #4                               
 able         | Find                                                                                                                                                                                                    |   27.26 |            7.63 |             3.43 | amalgamalg #2                                     
 able         | Firstly other dishes see mainly successful points. Especially main pupils express lately other, r                                                                                                       |   21.69 |            4.04 |             2.06 | scholarcorp #1                                    
 able         | For example other winners will not keep as different good ideas. Years might not pay right true theories. Again harsh proposals cannot participate later english local standards                        |   27.46 |            0.48 |             0.33 | importounivamalg #16                              
 able         | For example particular relations cannot sneak fun, opposite schools. Social, irish rules compa                                                                                                          |   25.87 |            9.30 |             7.25 | amalgexporti #1                                   
 able         | Forms equip al                                                                                                                                                                                          |   26.58 |            6.76 |             3.30 | exportischolar #2                                 
 able         | Free eyes talk biolog                                                                                                                                                                                   |   12.65 |            4.93 |             3.64 | amalgimporto #2                                   
(100 rows)

Time: 6107,866 ms (00:06,108)
